,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,494,2,"Vanguard Group, Inc. (The)",50534889,2017-12-30 00:00:00,8.92%,1699488371,2018-07-03 02:43:41
1,494,2,Blackrock Inc.,35609163,2017-12-30 00:00:00,6.28%,1197536189,2018-07-03 02:43:41
2,494,2,Capital Research Global Investors,25483700,2017-12-30 00:00:00,4.50%,857016858,2018-07-03 02:43:41
3,494,2,Price (T.Rowe) Associates Inc,23325150,2017-12-30 00:00:00,4.12%,784424819,2018-07-03 02:43:41
4,494,2,Soroban Capital Partners LP,22304047,2017-12-30 00:00:00,3.94%,750085124,2018-07-03 02:43:41
5,494,2,Harris Associates L.P.,22214034,2017-12-30 00:00:00,3.92%,747057987,2018-07-03 02:43:41
6,494,2,Canyon Capital Advisors LLC,19366568,2017-12-30 00:00:00,3.42%,651297702,2018-07-03 02:43:41
7,494,2,State Street Corporation,19321216,2017-12-30 00:00:00,3.41%,649772514,2018-07-03 02:43:41
8,494,2,Capital World Investors,14703367,2017-12-30 00:00:00,2.59%,494474247,2018-07-03 02:43:41
9,494,2,"Senator Investment Group, LP",10000000,2017-12-30 00:00:00,1.76%,336300010,2018-07-03 02:43:41
0,494,2,Growth Fund Of America Inc,25534100,2017-12-30 00:00:00,4.51%,858711810,2018-07-03 02:43:41
1,494,2,Vanguard Mid-Cap Index Fund,12781923,2017-06-29 00:00:00,2.26%,431134256,2018-07-03 02:43:41
2,494,2,Vanguard Total Stock Market Index Fund,11881601,2017-06-29 00:00:00,2.10%,400766396,2018-07-03 02:43:41
3,494,2,Price (T.Rowe) Mid Cap Growth Fund,7200000,2017-12-30 00:00:00,1.27%,242136007,2018-07-03 02:43:41
4,494,2,SPDR S&P 500 ETF Trust,6557862,2018-01-30 00:00:00,1.16%,249395483,2018-07-03 02:43:41
5,494,2,Vanguard Extended Market Index Fund,6088436,2017-06-29 00:00:00,1.07%,205362943,2018-07-03 02:43:41
6,494,2,New Perspective Fund Inc,5384300,2017-12-30 00:00:00,0.95%,181074014,2018-07-03 02:43:41
7,494,2,Capital World Growth and Income Fund,4512700,2017-12-30 00:00:00,0.80%,151762105,2018-07-03 02:43:41
8,494,2,College Retirement Equities Fund-Stock Account,3933949,2017-06-29 00:00:00,0.69%,132692097,2018-07-03 02:43:41
9,494,2,Price (T.Rowe) Growth Stock Fund Inc.,3919500,2017-12-30 00:00:00,0.69%,131812789,2018-07-03 02:43:41
