,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,303,2,"Vanguard Group, Inc. (The)",13173167,2017-12-30 00:00:00,10.86%,1346824565,2018-07-03 01:32:14
1,303,2,Blackrock Inc.,9836262,2017-12-30 00:00:00,8.11%,1005659405,2018-07-03 01:32:14
2,303,2,State Farm Mutual Automobile Insurance Co,9435400,2017-12-30 00:00:00,7.78%,964675275,2018-07-03 01:32:14
3,303,2,State Street Corporation,7253346,2017-12-30 00:00:00,5.98%,741582079,2018-07-03 01:32:14
4,303,2,"ClearBridge Investments, LLC",4455263,2017-12-30 00:00:00,3.67%,455506079,2018-07-03 01:32:14
5,303,2,"Franklin Resources, Inc",2645527,2017-12-30 00:00:00,2.18%,270478674,2018-07-03 01:32:14
6,303,2,Northern Trust Corporation,2191472,2017-12-30 00:00:00,1.81%,224056092,2018-07-03 01:32:14
7,303,2,Putnam Investments LLC,1970489,2017-12-30 00:00:00,1.62%,201462791,2018-07-03 01:32:14
8,303,2,Amundi Pioneer Asset Management,1833148,2017-12-30 00:00:00,1.51%,187421047,2018-07-03 01:32:14
9,303,2,Bank of America Corporation,1427099,2017-12-30 00:00:00,1.18%,145906598,2018-07-03 01:32:14
0,303,2,Vanguard Mid-Cap Index Fund,2799481,2017-06-29 00:00:00,2.31%,275832859,2018-07-03 01:32:14
1,303,2,Vanguard Total Stock Market Index Fund,2597945,2017-06-29 00:00:00,2.14%,255975517,2018-07-03 01:32:14
2,303,2,Franklin Managed Trust - Rising Dividends Fund,2276400,2017-06-29 00:00:00,1.88%,224293689,2018-07-03 01:32:14
3,303,2,Vanguard 500 Index Fund,1785595,2017-06-29 00:00:00,1.47%,175934673,2018-07-03 01:32:14
4,303,2,SPDR S&P 500 ETF Trust,1508109,2018-01-30 00:00:00,1.24%,162543986,2018-07-03 01:32:14
5,303,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,1406101,2018-01-30 00:00:00,1.16%,151549564,2018-07-03 01:32:14
6,303,2,Vanguard Institutional Index Fund-Institutional Index Fund,1241478,2017-06-29 00:00:00,1.02%,122322825,2018-07-03 01:32:14
7,303,2,Vanguard Specialized-Dividend Appreciation Index Fund,970511,2017-07-30 00:00:00,0.80%,92703207,2018-07-03 01:32:14
8,303,2,Legg Mason Clearbridge Large Cap Growth Fd,909468,2017-12-30 00:00:00,0.75%,92984006,2018-07-03 01:32:14
9,303,2,iShares Edge MSCI Min Vol USA ETF,866855,2018-01-30 00:00:00,0.71%,93429630,2018-07-03 01:32:14
