,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,297,2,"Vanguard Group, Inc. (The)",48885164,2017-12-30 00:00:00,8.22%,11523210917,2018-07-03 01:30:00
1,297,2,State Street Corporation,45127985,2017-12-30 00:00:00,7.59%,10637568679,2018-07-03 01:30:00
2,297,2,Blackrock Inc.,38828584,2017-12-30 00:00:00,6.53%,9152673867,2018-07-03 01:30:00
3,297,2,Massachusetts Financial Services Co.,11860716,2017-12-30 00:00:00,1.99%,2795807989,2018-07-03 01:30:00
4,297,2,State Farm Mutual Automobile Insurance Co,11131700,2017-12-30 00:00:00,1.87%,2623964337,2018-07-03 01:30:00
5,297,2,Bank of America Corporation,9784249,2017-12-30 00:00:00,1.65%,2306343186,2018-07-03 01:30:00
6,297,2,"FMR, LLC",8710766,2017-12-30 00:00:00,1.46%,2053301772,2018-07-03 01:30:00
7,297,2,Northern Trust Corporation,8476503,2017-12-30 00:00:00,1.43%,1998081297,2018-07-03 01:30:00
8,297,2,Wells Fargo & Company,7513138,2017-12-30 00:00:00,1.26%,1770996898,2018-07-03 01:30:00
9,297,2,"Geode Capital Management, LLC",6901534,2017-12-30 00:00:00,1.16%,1626829602,2018-07-03 01:30:00
0,297,2,Vanguard Total Stock Market Index Fund,13773479,2017-06-29 00:00:00,2.32%,2889400407,2018-07-03 01:30:00
1,297,2,Vanguard 500 Index Fund,9444656,2017-06-29 00:00:00,1.59%,1981299924,2018-07-03 01:30:00
2,297,2,SPDR S&P 500 ETF Trust,7570180,2018-01-30 00:00:00,1.27%,1938041855,2018-07-03 01:30:00
3,297,2,SPDR Dow Jones Industrial Average ETF,6613836,2018-01-30 00:00:00,1.11%,1693208218,2018-07-03 01:30:00
4,297,2,Vanguard Institutional Index Fund-Institutional Index Fund,6557616,2017-06-29 00:00:00,1.10%,1375656676,2018-07-03 01:30:00
5,297,2,Vanguard Specialized-Dividend Appreciation Index Fund,5091812,2017-07-30 00:00:00,0.86%,1016936698,2018-07-03 01:30:00
6,297,2,MFS Series Trust I-MFS Value Fund,4361983,2017-08-30 00:00:00,0.73%,883127107,2018-07-03 01:30:00
7,297,2,Fidelity Contrafund Inc,4042732,2018-01-30 00:00:00,0.68%,1034979858,2018-07-03 01:30:00
8,297,2,iShares Core S&P 500 ETF,3870185,2018-01-30 00:00:00,0.65%,990806099,2018-07-03 01:30:00
9,297,2,Vanguard Growth Index Fund,3801321,2017-06-29 00:00:00,0.64%,797441114,2018-07-03 01:30:00
