,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,298,2,"FMR, LLC",41419059,2017-12-30 00:00:00,7.31%,2606087116,2018-07-03 01:30:23
1,298,2,"Vanguard Group, Inc. (The)",29820593,2017-12-30 00:00:00,5.26%,1876311656,2018-07-03 01:30:23
2,298,2,"Loomis Sayles & Company, LP",22996125,2017-12-30 00:00:00,4.06%,1446916142,2018-07-03 01:30:23
3,298,2,Blackrock Inc.,22739399,2017-12-30 00:00:00,4.01%,1430762943,2018-07-03 01:30:23
4,298,2,State Street Corporation,16961238,2017-12-30 00:00:00,2.99%,1067201063,2018-07-03 01:30:23
5,298,2,Jennison Associates LLC,13126248,2017-12-30 00:00:00,2.32%,825903500,2018-07-03 01:30:23
6,298,2,"Wellington Management Company, LLP",12504451,2017-12-30 00:00:00,2.21%,786780034,2018-07-03 01:30:23
7,298,2,"Sands Capital Management, Inc.",10131493,2017-12-30 00:00:00,1.79%,637473521,2018-07-03 01:30:23
8,298,2,"TIAA-CREF Investment Management, LLC",8070092,2017-12-30 00:00:00,1.42%,507770173,2018-07-03 01:30:23
9,298,2,Bank of America Corporation,7625355,2017-12-30 00:00:00,1.35%,479787322,2018-07-03 01:30:23
0,298,2,Vanguard Total Stock Market Index Fund,9828363,2017-06-29 00:00:00,1.74%,494366651,2018-07-03 01:30:23
1,298,2,Fidelity Low-Priced Stock Fund,7028074,2017-10-30 00:00:00,1.24%,399405458,2018-07-03 01:30:23
2,298,2,Fidelity Growth Company Fund,6833960,2018-01-30 00:00:00,1.21%,466691134,2018-07-03 01:30:23
3,298,2,Vanguard 500 Index Fund,6359357,2017-06-29 00:00:00,1.12%,319875652,2018-07-03 01:30:23
4,298,2,Harbor Capital Appreciation Fund,5913882,2017-12-30 00:00:00,1.04%,372101444,2018-07-03 01:30:23
5,298,2,SPDR S&P 500 ETF Trust,5252097,2018-01-30 00:00:00,0.93%,358665708,2018-07-03 01:30:23
6,298,2,Loomis Sayles Growth Fund,5002512,2017-06-29 00:00:00,0.88%,251626349,2018-07-03 01:30:23
7,298,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",4556178,2018-01-30 00:00:00,0.80%,311141399,2018-07-03 01:30:23
8,298,2,Vanguard Institutional Index Fund-Institutional Index Fund,4420414,2017-06-29 00:00:00,0.78%,222346820,2018-07-03 01:30:23
9,298,2,College Retirement Equities Fund-Stock Account,4327876,2017-06-29 00:00:00,0.76%,217692159,2018-07-03 01:30:23
