,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,306,2,"Vanguard Group, Inc. (The)",137408529,2017-12-30 00:00:00,7.23%,9793105400,2018-07-03 01:33:22
1,306,2,Blackrock Inc.,135404376,2017-12-30 00:00:00,7.12%,9650269422,2018-07-03 01:33:22
2,306,2,State Street Corporation,69131868,2017-12-30 00:00:00,3.64%,4927028000,2018-07-03 01:33:22
3,306,2,Capital World Investors,54144300,2017-12-30 00:00:00,2.85%,3858864079,2018-07-03 01:33:22
4,306,2,Capital Research Global Investors,43320827,2017-12-30 00:00:00,2.28%,3087475194,2018-07-03 01:33:22
5,306,2,Bank of America Corporation,34749822,2017-12-30 00:00:00,1.83%,2476619697,2018-07-03 01:33:22
6,306,2,"FMR, LLC",26132739,2017-12-30 00:00:00,1.38%,1862480220,2018-07-03 01:33:22
7,306,2,Northern Trust Corporation,24163520,2017-12-30 00:00:00,1.27%,1722133989,2018-07-03 01:33:22
8,306,2,"Geode Capital Management, LLC",21709187,2017-12-30 00:00:00,1.14%,1547213684,2018-07-03 01:33:22
9,306,2,Bank Of New York Mellon Corporation,21332612,2017-12-30 00:00:00,1.12%,1520375185,2018-07-03 01:33:22
0,306,2,Vanguard Total Stock Market Index Fund,44516118,2017-06-29 00:00:00,2.34%,3355624852,2018-07-03 01:33:22
1,306,2,Vanguard 500 Index Fund,30517925,2017-06-29 00:00:00,1.61%,2300441102,2018-07-03 01:33:22
2,306,2,Income Fund of America Inc,25648000,2017-12-30 00:00:00,1.35%,1827932873,2018-07-03 01:33:22
3,306,2,SPDR S&P 500 ETF Trust,24289196,2018-01-30 00:00:00,1.28%,1696114601,2018-07-03 01:33:22
4,306,2,Vanguard Institutional Index Fund-Institutional Index Fund,21191372,2017-06-29 00:00:00,1.12%,1597405563,2018-07-03 01:33:22
5,306,2,"Capital Income Builder, Inc.",17188700,2017-12-30 00:00:00,0.90%,1225038591,2018-07-03 01:33:22
6,306,2,Investment Company Of America,16455000,2017-12-30 00:00:00,0.87%,1172747794,2018-07-03 01:33:22
7,306,2,American Balanced Fund,13289300,2017-12-30 00:00:00,0.70%,947128366,2018-07-03 01:33:22
8,306,2,iShares Core S&P 500 ETF,12375474,2018-01-30 00:00:00,0.65%,864179372,2018-07-03 01:33:22
9,306,2,Fidelity 500 Index Fund,11795330,2018-01-30 00:00:00,0.62%,823667915,2018-07-03 01:33:22
