,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,300,2,"Vanguard Group, Inc. (The)",31777387,2017-12-30 00:00:00,7.21%,3694756679,2018-07-03 01:31:08
1,300,2,Blackrock Inc.,27591722,2017-12-30 00:00:00,6.26%,3208089424,2018-07-03 01:31:08
2,300,2,State Street Corporation,20821771,2017-12-30 00:00:00,4.72%,2420947244,2018-07-03 01:31:08
3,300,2,"Berkshire Hathaway, Inc",11708747,2017-12-30 00:00:00,2.66%,1361375974,2018-07-03 01:31:08
4,300,2,Primecap Management Company,10918379,2017-12-30 00:00:00,2.48%,1269479889,2018-07-03 01:31:08
5,300,2,"FMR, LLC",10869790,2017-12-30 00:00:00,2.47%,1263830446,2018-07-03 01:31:08
6,300,2,Massachusetts Financial Services Co.,10349451,2017-12-30 00:00:00,2.35%,1203330633,2018-07-03 01:31:08
7,300,2,"Pentwater Capital Management, LP",8781778,2017-12-30 00:00:00,1.99%,1021057298,2018-07-03 01:31:08
8,300,2,Northern Trust Corporation,7321758,2017-12-30 00:00:00,1.66%,851300778,2018-07-03 01:31:08
9,300,2,Capital International Investors,6610985,2017-12-30 00:00:00,1.50%,768659203,2018-07-03 01:31:08
0,300,2,Vanguard Total Stock Market Index Fund,10101139,2017-06-29 00:00:00,2.29%,1184358547,2018-07-03 01:31:08
1,300,2,Vanguard 500 Index Fund,6950803,2017-06-29 00:00:00,1.58%,814981651,2018-07-03 01:31:08
2,300,2,Vanguard/Primecap Fund,5871125,2017-06-29 00:00:00,1.33%,688389406,2018-07-03 01:31:08
3,300,2,SPDR S&P 500 ETF Trust,5561264,2018-01-30 00:00:00,1.26%,677195098,2018-07-03 01:31:08
4,300,2,Vanguard Institutional Index Fund-Institutional Index Fund,4816385,2017-06-29 00:00:00,1.09%,564721141,2018-07-03 01:31:08
5,300,2,Select Sector SPDR Fund-Materials,3431923,2018-01-30 00:00:00,0.78%,417905252,2018-07-03 01:31:08
6,300,2,Washington Mutual Investors Fund,3333700,2017-12-30 00:00:00,0.76%,387609287,2018-07-03 01:31:08
7,300,2,iShares Core S&P 500 ETF,2849313,2018-01-30 00:00:00,0.65%,346960834,2018-07-03 01:31:08
8,300,2,Vanguard Growth Index Fund,2792362,2017-06-29 00:00:00,0.63%,327404444,2018-07-03 01:31:08
9,300,2,Fidelity 500 Index Fund,2715641,2018-01-30 00:00:00,0.62%,330683595,2018-07-03 01:31:08
