,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,304,2,"Vanguard Group, Inc. (The)",88179329,2017-12-30 00:00:00,10.38%,1505221119,2018-07-03 01:32:37
1,304,2,Blackrock Inc.,79835520,2017-12-30 00:00:00,9.40%,1362792302,2018-07-03 01:32:37
2,304,2,State Street Corporation,45100492,2017-12-30 00:00:00,5.31%,769865384,2018-07-03 01:32:37
3,304,2,Macquarie Group Limited,44482705,2017-12-30 00:00:00,5.23%,759319760,2018-07-03 01:32:37
4,304,2,"Hotchkis & Wiley Capital Management, LLC",41042843,2017-12-30 00:00:00,4.83%,700601317,2018-07-03 01:32:37
5,304,2,"Franklin Resources, Inc",29310818,2017-12-30 00:00:00,3.45%,500335654,2018-07-03 01:32:37
6,304,2,Invesco Ltd.,27954618,2017-12-30 00:00:00,3.29%,477185320,2018-07-03 01:32:37
7,304,2,Citadel Advisors LLC,18923278,2017-12-30 00:00:00,2.23%,323020349,2018-07-03 01:32:37
8,304,2,Millennium Management LLC,18596453,2017-12-30 00:00:00,2.19%,317441447,2018-07-03 01:32:37
9,304,2,Putnam Investments LLC,14369701,2017-12-30 00:00:00,1.69%,245290791,2018-07-03 01:32:37
0,304,2,Delaware Group Equity Funds II- Value Fund,33379500,2017-08-30 00:00:00,3.93%,364504142,2018-07-03 01:32:37
1,304,2,Vanguard Mid-Cap Index Fund,21016236,2017-06-29 00:00:00,2.47%,238534286,2018-07-03 01:32:37
2,304,2,Vanguard Total Stock Market Index Fund,19483483,2017-06-29 00:00:00,2.29%,221137539,2018-07-03 01:32:37
3,304,2,Vanguard/Windsor II,13871900,2017-07-30 00:00:00,1.63%,171456679,2018-07-03 01:32:37
4,304,2,Vanguard 500 Index Fund,13407353,2017-06-29 00:00:00,1.58%,152173461,2018-07-03 01:32:37
5,304,2,Franklin Mutual Series Fund-Mutual Global Discovery Fund,12762064,2017-06-29 00:00:00,1.50%,144849431,2018-07-03 01:32:37
6,304,2,Select Sector SPDR Fund-Energy Select,12614851,2018-01-30 00:00:00,1.48%,234888536,2018-07-03 01:32:37
7,304,2,Invesco Comstock Fd,12513389,2017-12-30 00:00:00,1.47%,213603546,2018-07-03 01:32:37
8,304,2,Blackrock Equity Dividend Fund,11381480,2017-07-30 00:00:00,1.34%,140675088,2018-07-03 01:32:37
9,304,2,Franklin Mutual Series Fund-Mutual Shares Fund,10934539,2017-06-29 00:00:00,1.29%,124107021,2018-07-03 01:32:37
