,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,305,2,"Vanguard Group, Inc. (The)",16488086,2017-12-30 00:00:00,10.22%,1493325943,2018-07-03 01:33:00
1,305,2,Blackrock Inc.,14927763,2017-12-30 00:00:00,9.25%,1352007490,2018-07-03 01:33:00
2,305,2,Lazard Asset Management LLC,8456810,2017-12-30 00:00:00,5.24%,765933279,2018-07-03 01:33:00
3,305,2,State Street Corporation,7747746,2017-12-30 00:00:00,4.80%,701713352,2018-07-03 01:33:00
4,305,2,Orbis Allan Gray Ltd,6288879,2017-12-30 00:00:00,3.90%,569583769,2018-07-03 01:33:00
5,305,2,Parnassus Investments /ca,5688161,2017-12-30 00:00:00,3.53%,515176740,2018-07-03 01:33:00
6,305,2,"Wellington Management Company, LLP",4937819,2017-12-30 00:00:00,3.06%,447218265,2018-07-03 01:33:00
7,305,2,"Neuberger Berman Group, LLC",4353072,2017-12-30 00:00:00,2.70%,394257729,2018-07-03 01:33:00
8,305,2,Northern Trust Corporation,2793280,2017-12-30 00:00:00,1.73%,252987368,2018-07-03 01:33:00
9,305,2,"Oppenheimer Funds, Inc.",2729002,2017-12-30 00:00:00,1.69%,247165710,2018-07-03 01:33:00
0,305,2,Vanguard Mid-Cap Index Fund,4041404,2017-06-29 00:00:00,2.51%,354511963,2018-07-03 01:33:00
1,305,2,Vanguard Total Stock Market Index Fund,3766387,2017-06-29 00:00:00,2.33%,330387472,2018-07-03 01:33:00
2,305,2,Parnassus Core Equity Fund,3649423,2017-09-29 00:00:00,2.26%,306916468,2018-07-03 01:33:00
3,305,2,Vanguard 500 Index Fund,2579020,2017-06-29 00:00:00,1.60%,226231637,2018-07-03 01:33:00
4,305,2,Vanguard/Windsor II,2488325,2017-07-30 00:00:00,1.54%,226462463,2018-07-03 01:33:00
5,305,2,SPDR S&P 500 ETF Trust,2056611,2018-01-30 00:00:00,1.27%,203974679,2018-07-03 01:33:00
6,305,2,Blackrock Equity Dividend Fund,1867203,2017-07-30 00:00:00,1.16%,169934149,2018-07-03 01:33:00
7,305,2,Vanguard Institutional Index Fund-Institutional Index Fund,1792381,2017-06-29 00:00:00,1.11%,157227663,2018-07-03 01:33:00
8,305,2,Victory Portfolios-Sycamore Established Value Fund,1779900,2017-07-30 00:00:00,1.10%,161988702,2018-07-03 01:33:00
9,305,2,Lazard U.S. Equity Concentrated Portfolio,1520450,2017-06-29 00:00:00,0.94%,133373875,2018-07-03 01:33:00
