,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,493,2,"Vanguard Group, Inc. (The)",2697785,2017-12-30 00:00:00,10.60%,1679640875,2018-07-03 02:43:20
1,493,2,"FMR, LLC",2495110,2017-12-30 00:00:00,9.80%,1553455425,2018-07-03 02:43:20
2,493,2,Blackrock Inc.,1847591,2017-12-30 00:00:00,7.26%,1150310111,2018-07-03 02:43:20
3,493,2,State Street Corporation,1087711,2017-12-30 00:00:00,4.27%,677208842,2018-07-03 02:43:20
4,493,2,Baillie Gifford and Company,617100,2017-12-30 00:00:00,2.42%,384206444,2018-07-03 02:43:20
5,493,2,BAMCO Inc.,615047,2017-12-30 00:00:00,2.42%,382928247,2018-07-03 02:43:20
6,493,2,Fiera Capital Corporation,600914,2017-12-30 00:00:00,2.36%,374129041,2018-07-03 02:43:20
7,493,2,Massachusetts Financial Services Co.,582374,2017-12-30 00:00:00,2.29%,362586038,2018-07-03 02:43:20
8,493,2,Acadian Asset Management,574591,2017-12-30 00:00:00,2.26%,357740342,2018-07-03 02:43:20
9,493,2,"Franklin Resources, Inc",517641,2017-12-30 00:00:00,2.03%,322283273,2018-07-03 02:43:20
0,493,2,Fidelity Contrafund Inc,1733786,2018-01-30 00:00:00,6.81%,1189013062,2018-07-03 02:43:20
1,493,2,Vanguard Mid-Cap Index Fund,638118,2017-06-29 00:00:00,2.51%,377204309,2018-07-03 02:43:20
2,493,2,Vanguard Total Stock Market Index Fund,594847,2017-06-29 00:00:00,2.34%,351625955,2018-07-03 02:43:20
3,493,2,Franklin Custodian Funds-Growth Fund,425000,2017-06-29 00:00:00,1.67%,251225997,2018-07-03 02:43:20
4,493,2,Vanguard 500 Index Fund,407260,2017-06-29 00:00:00,1.60%,240739529,2018-07-03 02:43:20
5,493,2,SPDR S&P 500 ETF Trust,329450,2018-01-30 00:00:00,1.29%,225933508,2018-07-03 02:43:20
6,493,2,Growth Fund Of America Inc,300000,2017-12-30 00:00:00,1.18%,186779992,2018-07-03 02:43:20
7,493,2,Vanguard Institutional Index Fund-Institutional Index Fund,283126,2017-06-29 00:00:00,1.11%,167361439,2018-07-03 02:43:20
8,493,2,Baron Asset Fund,250000,2017-06-29 00:00:00,0.98%,147779998,2018-07-03 02:43:20
9,493,2,Fidelity Advisor New Insights Fund,244500,2018-01-30 00:00:00,0.96%,167675649,2018-07-03 02:43:20
