,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,307,2,"Vanguard Group, Inc. (The)",79860552,2017-12-30 00:00:00,6.89%,3338969788,2018-07-03 01:33:44
1,307,2,Blackrock Inc.,68694231,2017-12-30 00:00:00,5.92%,2872105892,2018-07-03 01:33:44
2,307,2,Primecap Management Company,58390611,2017-12-30 00:00:00,5.03%,2441311526,2018-07-03 01:33:44
3,307,2,State Street Corporation,45113935,2017-12-30 00:00:00,3.89%,1886213684,2018-07-03 01:33:44
4,307,2,Capital Research Global Investors,37012083,2017-12-30 00:00:00,3.19%,1547475241,2018-07-03 01:33:44
5,307,2,"FMR, LLC",31577154,2017-12-30 00:00:00,2.72%,1320240852,2018-07-03 01:33:44
6,307,2,"Wellington Management Company, LLP",28091479,2017-12-30 00:00:00,2.42%,1174504775,2018-07-03 01:33:44
7,307,2,Appaloosa LP,27500000,2017-12-30 00:00:00,2.37%,1149775037,2018-07-03 01:33:44
8,307,2,"Ameriprise Financial, Inc.",20172093,2017-12-30 00:00:00,1.74%,843395236,2018-07-03 01:33:44
9,307,2,"AQR Capital Management, LLC",19467659,2017-12-30 00:00:00,1.68%,813942849,2018-07-03 01:33:44
0,307,2,Vanguard/Primecap Fund,30566200,2017-06-29 00:00:00,2.64%,967725887,2018-07-03 01:33:44
1,307,2,Vanguard Total Stock Market Index Fund,24191234,2017-06-29 00:00:00,2.09%,765894464,2018-07-03 01:33:44
2,307,2,Vanguard 500 Index Fund,16407198,2017-06-29 00:00:00,1.41%,519451886,2018-07-03 01:33:44
3,307,2,Capital World Growth and Income Fund,16133000,2017-12-30 00:00:00,1.39%,674520752,2018-07-03 01:33:44
4,307,2,SPDR S&P 500 ETF Trust,14644411,2018-01-30 00:00:00,1.26%,633956565,2018-07-03 01:33:44
5,307,2,Vanguard Institutional Index Fund-Institutional Index Fund,11420443,2017-06-29 00:00:00,0.98%,361571223,2018-07-03 01:33:44
6,307,2,Columbia Fds Ser Tr II-Columbia Seligman Communications & Information,9592500,2017-08-30 00:00:00,0.83%,298134899,2018-07-03 01:33:44
7,307,2,New Economy Fund (The),9390700,2017-12-30 00:00:00,0.81%,392625179,2018-07-03 01:33:44
8,307,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",9317035,2018-01-30 00:00:00,0.80%,403334453,2018-07-03 01:33:44
9,307,2,Ivy Science & Technology Fund,9027000,2017-06-29 00:00:00,0.78%,285794818,2018-07-03 01:33:44
