,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,313,2,Investor AB,19394142,2017-12-30 00:00:00,11.64%,1486948831,2018-07-03 01:35:57
1,313,2,Massachusetts Financial Services Co.,14235218,2017-12-30 00:00:00,8.55%,1091414137,2018-07-03 01:35:57
2,313,2,"Vanguard Group, Inc. (The)",11825546,2017-12-30 00:00:00,7.10%,906664590,2018-07-03 01:35:57
3,313,2,Blackrock Inc.,9043188,2017-12-30 00:00:00,5.43%,693341207,2018-07-03 01:35:57
4,313,2,State Street Corporation,5294796,2017-12-30 00:00:00,3.18%,405951999,2018-07-03 01:35:57
5,313,2,Invesco Ltd.,3205029,2017-12-30 00:00:00,1.92%,245729567,2018-07-03 01:35:57
6,313,2,Capital International Investors,2755100,2017-12-30 00:00:00,1.65%,211233511,2018-07-03 01:35:57
7,313,2,JP Morgan Chase & Company,2236921,2017-12-30 00:00:00,1.34%,171504728,2018-07-03 01:35:57
8,313,2,"BESSEMER GROUP, INCORPORATED",2217385,2017-12-30 00:00:00,1.33%,170006903,2018-07-03 01:35:57
9,313,2,"Wellington Management Company, LLP",2170586,2017-12-30 00:00:00,1.30%,166418824,2018-07-03 01:35:57
0,313,2,MFS Series Trust I-MFS Value Fund,5887919,2017-08-30 00:00:00,3.54%,445303297,2018-07-03 01:35:57
1,313,2,Vanguard Mid-Cap Index Fund,2855794,2017-06-29 00:00:00,1.71%,201847520,2018-07-03 01:35:57
2,313,2,Vanguard Total Stock Market Index Fund,2661058,2017-06-29 00:00:00,1.60%,188083580,2018-07-03 01:35:57
3,313,2,Vanguard 500 Index Fund,1798697,2017-06-29 00:00:00,1.08%,127131904,2018-07-03 01:35:57
4,313,2,SPDR S&P 500 ETF Trust,1478785,2018-01-30 00:00:00,0.89%,120742797,2018-07-03 01:35:57
5,313,2,Old Westbury Small & Mid Cap Strategies Fund,1441000,2017-07-30 00:00:00,0.87%,107167173,2018-07-03 01:35:57
6,313,2,Vanguard Institutional Index Fund-Institutional Index Fund,1249641,2017-06-29 00:00:00,0.75%,88324626,2018-07-03 01:35:57
7,313,2,Select Sector SPDR Fund-Financial,1118793,2018-01-30 00:00:00,0.67%,91349450,2018-07-03 01:35:57
8,313,2,Massachusetts Investors Trust,1050323,2017-09-29 00:00:00,0.63%,81011410,2018-07-03 01:35:57
9,313,2,MFS Series Trust XI-MFS Mid Cap Value Fund,999727,2017-06-29 00:00:00,0.60%,70660704,2018-07-03 01:35:57
