,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,321,2,Blackrock Inc.,77637045,2017-12-30 00:00:00,14.55%,2912165427,2018-07-03 01:38:59
1,321,2,"Vanguard Group, Inc. (The)",55585107,2017-12-30 00:00:00,10.41%,2084997270,2018-07-03 01:38:59
2,321,2,State Street Corporation,27588417,2017-12-30 00:00:00,5.17%,1034841475,2018-07-03 01:38:59
3,321,2,Van Eck Associates Corporation,23554834,2017-12-30 00:00:00,4.41%,883541783,2018-07-03 01:38:59
4,321,2,Carmignac Gestion,15201429,2017-12-30 00:00:00,2.85%,570205576,2018-07-03 01:38:59
5,321,2,Price (T.Rowe) Associates Inc,13453463,2017-12-30 00:00:00,2.52%,504639374,2018-07-03 01:38:59
6,321,2,Flossbach von Storch AG,8500271,2017-12-30 00:00:00,1.59%,318845150,2018-07-03 01:38:59
7,321,2,Bank Of New York Mellon Corporation,8316276,2017-12-30 00:00:00,1.56%,311943498,2018-07-03 01:38:59
8,321,2,Northern Trust Corporation,8188314,2017-12-30 00:00:00,1.53%,307143644,2018-07-03 01:38:59
9,321,2,"Geode Capital Management, LLC",6378102,2017-12-30 00:00:00,1.20%,239242595,2018-07-03 01:38:59
0,321,2,VanEck Vectors ETF Tr-Gold Miners ETF,17015755,2018-01-30 00:00:00,3.19%,681991491,2018-07-03 01:38:59
1,321,2,Vanguard Mid-Cap Index Fund,13176298,2017-06-29 00:00:00,2.47%,435740170,2018-07-03 01:38:59
2,321,2,Vanguard Total Stock Market Index Fund,12291815,2017-06-29 00:00:00,2.30%,406490318,2018-07-03 01:38:59
3,321,2,Price (T.Rowe) Mid-Cap Value Fund,9405200,2017-12-30 00:00:00,1.76%,352789036,2018-07-03 01:38:59
4,321,2,Vanguard 500 Index Fund,8413814,2017-06-29 00:00:00,1.58%,278244826,2018-07-03 01:38:59
5,321,2,SPDR S&P 500 ETF Trust,6756337,2018-01-30 00:00:00,1.27%,270793999,2018-07-03 01:38:59
6,321,2,Vanguard Institutional Index Fund-Institutional Index Fund,5846739,2017-06-29 00:00:00,1.10%,193351656,2018-07-03 01:38:59
7,321,2,iShares Edge MSCI Min Vol USA ETF,5519589,2018-01-30 00:00:00,1.03%,221225137,2018-07-03 01:38:59
8,321,2,Select Sector SPDR Fund-Materials,4294524,2018-01-30 00:00:00,0.80%,172124529,2018-07-03 01:38:59
9,321,2,Vanguard Mid-Cap Value Index Fund,4265876,2017-06-29 00:00:00,0.80%,141072518,2018-07-03 01:38:59
