,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,316,2,Capital Research Global Investors,44954952,2017-12-30 00:00:00,10.36%,8663269101,2018-07-03 01:37:04
1,316,2,"Vanguard Group, Inc. (The)",28913685,2017-12-30 00:00:00,6.66%,5571956430,2018-07-03 01:37:04
2,316,2,Blackrock Inc.,25696694,2017-12-30 00:00:00,5.92%,4952010073,2018-07-03 01:37:04
3,316,2,"FMR, LLC",24810101,2017-12-30 00:00:00,5.72%,4781154730,2018-07-03 01:37:04
4,316,2,State Street Corporation,17016948,2017-12-30 00:00:00,3.92%,3279336163,2018-07-03 01:37:04
5,316,2,Price (T.Rowe) Associates Inc,16079764,2017-12-30 00:00:00,3.71%,3098731428,2018-07-03 01:37:04
6,316,2,Jennison Associates LLC,11411727,2017-12-30 00:00:00,2.63%,2199153986,2018-07-03 01:37:04
7,316,2,Capital World Investors,8803460,2017-12-30 00:00:00,2.03%,1696514835,2018-07-03 01:37:04
8,316,2,"SRS Investment Management, LLC",8068879,2017-12-30 00:00:00,1.86%,1554953726,2018-07-03 01:37:04
9,316,2,Baillie Gifford and Company,6957475,2017-12-30 00:00:00,1.60%,1340775053,2018-07-03 01:37:04
0,316,2,Growth Fund Of America Inc,22546471,2017-12-30 00:00:00,5.20%,4344930577,2018-07-03 01:37:04
1,316,2,Amcap Fund,9941000,2017-12-30 00:00:00,2.29%,1915730176,2018-07-03 01:37:04
2,316,2,Fidelity Contrafund Inc,9867611,2018-01-30 00:00:00,2.27%,2808223378,2018-07-03 01:37:04
3,316,2,Vanguard Total Stock Market Index Fund,9424638,2017-06-29 00:00:00,2.17%,1423403065,2018-07-03 01:37:04
4,316,2,Vanguard 500 Index Fund,6821834,2017-06-29 00:00:00,1.57%,1030301580,2018-07-03 01:37:04
5,316,2,SPDR S&P 500 ETF Trust,5498838,2018-01-30 00:00:00,1.27%,1564914286,2018-07-03 01:37:04
6,316,2,Capital World Growth and Income Fund,5431589,2017-12-30 00:00:00,1.25%,1046721552,2018-07-03 01:37:04
7,316,2,Vanguard Institutional Index Fund-Institutional Index Fund,4730297,2017-06-29 00:00:00,1.09%,714416750,2018-07-03 01:37:04
8,316,2,Harbor Capital Appreciation Fund,4043197,2017-12-30 00:00:00,0.93%,779164521,2018-07-03 01:37:04
9,316,2,New Economy Fund (The),3643100,2017-12-30 00:00:00,0.84%,702061825,2018-07-03 01:37:04
