,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,325,2,"Vanguard Group, Inc. (The)",101511950,2017-12-30 00:00:00,7.82%,6390177329,2018-07-03 01:40:26
1,325,2,Blackrock Inc.,79221723,2017-12-30 00:00:00,6.10%,4987007523,2018-07-03 01:40:26
2,325,2,Capital World Investors,64646705,2017-12-30 00:00:00,4.98%,4069510129,2018-07-03 01:40:26
3,325,2,State Street Corporation,59685279,2017-12-30 00:00:00,4.60%,3757188358,2018-07-03 01:40:26
4,325,2,"Wellington Management Company, LLP",48222328,2017-12-30 00:00:00,3.72%,3035595584,2018-07-03 01:40:26
5,325,2,Capital Research Global Investors,45569320,2017-12-30 00:00:00,3.51%,2868588728,2018-07-03 01:40:26
6,325,2,Bank Of New York Mellon Corporation,27058353,2017-12-30 00:00:00,2.08%,1703323341,2018-07-03 01:40:26
7,325,2,Morgan Stanley,24969718,2017-12-30 00:00:00,1.92%,1571843767,2018-07-03 01:40:26
8,325,2,Northern Trust Corporation,21121095,2017-12-30 00:00:00,1.63%,1329572946,2018-07-03 01:40:26
9,325,2,"FMR, LLC",20101835,2017-12-30 00:00:00,1.55%,1265410528,2018-07-03 01:40:26
0,325,2,Growth Fund Of America Inc,31827000,2017-12-30 00:00:00,2.45%,2003509674,2018-07-03 01:40:26
1,325,2,Vanguard Total Stock Market Index Fund,30387385,2017-06-29 00:00:00,2.34%,1609012058,2018-07-03 01:40:26
2,325,2,American Balanced Fund,23713000,2017-12-30 00:00:00,1.83%,1492733368,2018-07-03 01:40:26
3,325,2,Vanguard 500 Index Fund,20910627,2017-06-29 00:00:00,1.61%,1107217715,2018-07-03 01:40:26
4,325,2,Vanguard Specialized-Dividend Growth Fund,20662485,2017-07-30 00:00:00,1.59%,1212267957,2018-07-03 01:40:26
5,325,2,SPDR S&P 500 ETF Trust,16696774,2018-01-30 00:00:00,1.29%,1128368017,2018-07-03 01:40:26
6,325,2,Vanguard Institutional Index Fund-Institutional Index Fund,14543960,2017-06-29 00:00:00,1.12%,770102693,2018-07-03 01:40:26
7,325,2,Fundamental Investors Inc,11662000,2017-12-30 00:00:00,0.90%,734122908,2018-07-03 01:40:26
8,325,2,Vanguard Specialized-Dividend Appreciation Index Fund,11317980,2017-07-30 00:00:00,0.87%,664025865,2018-07-03 01:40:26
9,325,2,Investment Company Of America,9100400,2017-12-30 00:00:00,0.70%,572870186,2018-07-03 01:40:26
