,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,320,2,"Vanguard Group, Inc. (The)",39388727,2017-12-30 00:00:00,10.36%,1397905987,2018-07-03 01:38:35
1,320,2,Dodge & Cox Inc,31174239,2017-12-30 00:00:00,8.20%,1106373794,2018-07-03 01:38:35
2,320,2,"First Eagle Investment Management, LLC",27041180,2017-12-30 00:00:00,7.11%,959691523,2018-07-03 01:38:35
3,320,2,Blackrock Inc.,25257983,2017-12-30 00:00:00,6.64%,896405859,2018-07-03 01:38:35
4,320,2,Harris Associates L.P.,21681884,2017-12-30 00:00:00,5.70%,769490099,2018-07-03 01:38:35
5,320,2,"Vulcan Value Partners, LLC",21640475,2017-12-30 00:00:00,5.69%,768020494,2018-07-03 01:38:35
6,320,2,State Street Corporation,20890368,2017-12-30 00:00:00,5.50%,741399195,2018-07-03 01:38:35
7,320,2,"ClearBridge Investments, LLC",13106083,2017-12-30 00:00:00,3.45%,465134907,2018-07-03 01:38:35
8,320,2,"Hotchkis & Wiley Capital Management, LLC",7315284,2017-12-30 00:00:00,1.92%,259619441,2018-07-03 01:38:35
9,320,2,Parnassus Investments /ca,6929938,2017-12-30 00:00:00,1.82%,245943511,2018-07-03 01:38:35
0,320,2,Dodge & Cox Stock Fund,18798000,2017-09-29 00:00:00,4.94%,679359708,2018-07-03 01:38:35
1,320,2,First Eagle Global Fund,17895308,2017-07-30 00:00:00,4.71%,592513658,2018-07-03 01:38:35
2,320,2,Vanguard Mid-Cap Index Fund,9396030,2017-06-29 00:00:00,2.47%,297854158,2018-07-03 01:38:35
3,320,2,Vanguard Total Stock Market Index Fund,8736016,2017-06-29 00:00:00,2.30%,276931713,2018-07-03 01:38:35
4,320,2,Vanguard 500 Index Fund,5993734,2017-06-29 00:00:00,1.58%,190001372,2018-07-03 01:38:35
5,320,2,Select Sector SPDR Fund-Energy Select,5714594,2018-01-30 00:00:00,1.50%,209897035,2018-07-03 01:38:35
6,320,2,SPDR S&P 500 ETF Trust,4796473,2018-01-30 00:00:00,1.26%,176174451,2018-07-03 01:38:35
7,320,2,Parnassus Core Equity Fund,4553090,2017-09-29 00:00:00,1.20%,164548669,2018-07-03 01:38:35
8,320,2,Vanguard Institutional Index Fund-Institutional Index Fund,4167079,2017-06-29 00:00:00,1.10%,132096407,2018-07-03 01:38:35
9,320,2,American Century Mid Cap Value Fund,3274711,2017-12-30 00:00:00,0.86%,116219498,2018-07-03 01:38:35
