,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,329,2,"Vanguard Group, Inc. (The)",34712451,2017-12-30 00:00:00,10.93%,972295760,2018-07-03 01:41:53
1,329,2,Blackrock Inc.,17929086,2017-12-30 00:00:00,5.64%,502193702,2018-07-03 01:41:53
2,329,2,"FMR, LLC",15655032,2017-12-30 00:00:00,4.93%,438497449,2018-07-03 01:41:53
3,329,2,State Street Corporation,12565522,2017-12-30 00:00:00,3.96%,351960274,2018-07-03 01:41:53
4,329,2,Brahman Capital Corporation,12281200,2017-12-30 00:00:00,3.87%,343996414,2018-07-03 01:41:53
5,329,2,Price (T.Rowe) Associates Inc,11195075,2017-12-30 00:00:00,3.52%,313574053,2018-07-03 01:41:53
6,329,2,Elliott Management Corporation,10000000,2017-12-30 00:00:00,3.15%,280100002,2018-07-03 01:41:53
7,329,2,Appaloosa LP,9759777,2017-12-30 00:00:00,3.07%,273371356,2018-07-03 01:41:53
8,329,2,Janus Henderson Group PLC,9708329,2017-12-30 00:00:00,3.06%,271930297,2018-07-03 01:41:53
9,329,2,"Luminus Management, LLC",9485601,2017-12-30 00:00:00,2.99%,265691686,2018-07-03 01:41:53
0,329,2,Franklin Mutual Series Fund-Mutual Quest Fund,8524843,2017-06-29 00:00:00,2.68%,146712540,2018-07-03 01:41:53
1,329,2,Price (T.Rowe) Mid-Cap Value Fund,8035745,2017-12-30 00:00:00,2.53%,225081219,2018-07-03 01:41:53
2,329,2,Vanguard Total Stock Market Index Fund,7189531,2017-06-29 00:00:00,2.26%,123731821,2018-07-03 01:41:53
3,329,2,Vanguard Small-Cap Index Fund,6947659,2017-06-29 00:00:00,2.19%,119569205,2018-07-03 01:41:53
4,329,2,Vanguard 500 Index Fund,4990488,2017-06-29 00:00:00,1.57%,85886293,2018-07-03 01:41:53
5,329,2,JNL Series Trust-JNL/S&P Intrinsic Value Fund,4853000,2017-06-29 00:00:00,1.53%,83520125,2018-07-03 01:41:53
6,329,2,Vanguard Small Cap Value Index Fund,4517025,2017-06-29 00:00:00,1.42%,77737996,2018-07-03 01:41:53
7,329,2,Putnam Equity Income Fund,3897600,2017-08-30 00:00:00,1.23%,95764030,2018-07-03 01:41:53
8,329,2,SPDR S&P 500 ETF Trust,3891788,2018-01-30 00:00:00,1.23%,104533428,2018-07-03 01:41:53
9,329,2,MFS Series Trust VI-MFS Utilities Fund,3666891,2017-07-30 00:00:00,1.15%,92295646,2018-07-03 01:41:53
