,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,326,2,State Farm Mutual Automobile Insurance Co,30448900,2017-12-30 00:00:00,9.57%,1959082114,2018-07-03 01:40:47
1,326,2,"Vanguard Group, Inc. (The)",26115206,2017-12-30 00:00:00,8.21%,1680252258,2018-07-03 01:40:47
2,326,2,Blackrock Inc.,22382353,2017-12-30 00:00:00,7.04%,1440080510,2018-07-03 01:40:47
3,326,2,State Street Corporation,18511982,2017-12-30 00:00:00,5.82%,1191060854,2018-07-03 01:40:47
4,326,2,"ClearBridge Investments, LLC",9011171,2017-12-30 00:00:00,2.83%,579778709,2018-07-03 01:40:47
5,326,2,Capital World Investors,8250003,2017-12-30 00:00:00,2.59%,530805162,2018-07-03 01:40:47
6,326,2,Price (T.Rowe) Associates Inc,7748287,2017-12-30 00:00:00,2.44%,498524757,2018-07-03 01:40:47
7,326,2,"Ameriprise Financial, Inc.",5497603,2017-12-30 00:00:00,1.73%,353715756,2018-07-03 01:40:47
8,326,2,Northern Trust Corporation,5466307,2017-12-30 00:00:00,1.72%,351702172,2018-07-03 01:40:47
9,326,2,Dimensional Fund Advisors LP,4717425,2017-12-30 00:00:00,1.48%,303519107,2018-07-03 01:40:47
0,326,2,Vanguard Total Stock Market Index Fund,7336174,2017-06-29 00:00:00,2.31%,417134858,2018-07-03 01:40:47
1,326,2,Washington Mutual Investors Fund,5990400,2017-12-30 00:00:00,1.88%,385422314,2018-07-03 01:40:47
2,326,2,Vanguard 500 Index Fund,5034159,2017-06-29 00:00:00,1.58%,286242283,2018-07-03 01:40:47
3,326,2,SPDR S&P 500 ETF Trust,4036562,2018-01-30 00:00:00,1.27%,278684244,2018-07-03 01:40:47
4,326,2,Vanguard Institutional Index Fund-Institutional Index Fund,3504296,2017-06-29 00:00:00,1.10%,199254272,2018-07-03 01:40:47
5,326,2,Vanguard Specialized-Dividend Appreciation Index Fund,2723167,2017-07-30 00:00:00,0.86%,156473173,2018-07-03 01:40:47
6,326,2,Select Sector SPDR Fund-Materials,2557809,2018-01-30 00:00:00,0.80%,176591135,2018-07-03 01:40:47
7,326,2,American Balanced Fund,2500000,2017-12-30 00:00:00,0.79%,160849990,2018-07-03 01:40:47
8,326,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,2388777,2018-01-30 00:00:00,0.75%,164921166,2018-07-03 01:40:47
9,326,2,DFA U.S. Large Cap Value Series,2380637,2017-07-30 00:00:00,0.75%,136791399,2018-07-03 01:40:47
