,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,336,2,Price (T.Rowe) Associates Inc,50143666,2017-12-30 00:00:00,13.09%,818846061,2018-07-03 01:44:30
1,336,2,"Vanguard Group, Inc. (The)",49054819,2017-12-30 00:00:00,12.80%,801065190,2018-07-03 01:44:30
2,336,2,Blackrock Inc.,25568583,2017-12-30 00:00:00,6.67%,417534958,2018-07-03 01:44:30
3,336,2,"Pzena Investment Management, LLC",22548294,2017-12-30 00:00:00,5.89%,368213639,2018-07-03 01:44:30
4,336,2,State Street Corporation,16153167,2017-12-30 00:00:00,4.22%,263781215,2018-07-03 01:44:30
5,336,2,Harris Associates L.P.,15869038,2017-12-30 00:00:00,4.14%,259141389,2018-07-03 01:44:30
6,336,2,"International Value Advisers, LLC",13400645,2017-12-30 00:00:00,3.50%,218832531,2018-07-03 01:44:30
7,336,2,Dodge & Cox Inc,11923424,2017-12-30 00:00:00,3.11%,194709513,2018-07-03 01:44:30
8,336,2,Artisan Partners Limited Partnership,11022336,2017-12-30 00:00:00,2.88%,179994746,2018-07-03 01:44:30
9,336,2,"Ameriprise Financial, Inc.",8763684,2017-12-30 00:00:00,2.29%,143110959,2018-07-03 01:44:30
0,336,2,Price (T.Rowe) Mid-Cap Value Fund,12999161,2017-12-30 00:00:00,3.39%,212276298,2018-07-03 01:44:30
1,336,2,Vanguard Mid-Cap Index Fund,12188770,2017-06-29 00:00:00,3.18%,166498596,2018-07-03 01:44:30
2,336,2,Price (T.Rowe) Equity Income Fund,11800000,2017-12-30 00:00:00,3.08%,192693999,2018-07-03 01:44:30
3,336,2,Vanguard Total Stock Market Index Fund,11180298,2017-06-29 00:00:00,2.92%,152722868,2018-07-03 01:44:30
4,336,2,Vanguard 500 Index Fund,7990604,2017-06-29 00:00:00,2.09%,109151649,2018-07-03 01:44:30
5,336,2,Dodge & Cox Stock Fund,7185284,2017-09-29 00:00:00,1.88%,95276867,2018-07-03 01:44:30
6,336,2,IVA Fiduciary Tr-IVA Worldwide Fd,6370534,2017-06-29 00:00:00,1.66%,87021493,2018-07-03 01:44:30
7,336,2,Artisan Mid Cap Value Fund,5595664,2017-06-29 00:00:00,1.46%,76436769,2018-07-03 01:44:30
8,336,2,Vanguard Institutional Index Fund-Institutional Index Fund,5496300,2017-06-29 00:00:00,1.43%,75079457,2018-07-03 01:44:30
9,336,2,SPDR S&P 500 ETF Trust,4755650,2018-01-30 00:00:00,1.24%,81131386,2018-07-03 01:44:30
