,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,339,2,"Vanguard Group, Inc. (The)",213220375,2017-12-30 00:00:00,5.22%,10132232317,2018-07-03 01:45:37
1,339,2,Blackrock Inc.,212126203,2017-12-30 00:00:00,5.20%,10080237263,2018-07-03 01:45:37
2,339,2,State Street Corporation,119792244,2017-12-30 00:00:00,2.93%,5692527489,2018-07-03 01:45:37
3,339,2,Bank Of New York Mellon Corporation,46536937,2017-12-30 00:00:00,1.14%,2211435267,2018-07-03 01:45:37
4,339,2,Harris Associates L.P.,45224901,2017-12-30 00:00:00,1.11%,2149087316,2018-07-03 01:45:37
5,339,2,Northern Trust Corporation,42917457,2017-12-30 00:00:00,1.05%,2039437576,2018-07-03 01:45:37
6,339,2,"First Eagle Investment Management, LLC",40738675,2017-12-30 00:00:00,1.00%,1935901854,2018-07-03 01:45:37
7,339,2,Eagle Capital Management LLC,36191684,2017-12-30 00:00:00,0.89%,1719828840,2018-07-03 01:45:37
8,339,2,"Loomis Sayles & Company, LP",35741949,2017-12-30 00:00:00,0.88%,1698457432,2018-07-03 01:45:37
9,339,2,"Barrow, Hanley Mewhinney & Strauss, LLC",33021260,2017-12-30 00:00:00,0.81%,1569170290,2018-07-03 01:45:37
0,339,2,Vanguard Total Stock Market Index Fund,70998449,2017-06-29 00:00:00,1.74%,3603171286,2018-07-03 01:45:37
1,339,2,Vanguard 500 Index Fund,47477276,2017-06-29 00:00:00,1.16%,2409471757,2018-07-03 01:45:37
2,339,2,SPDR S&P 500 ETF Trust,38708004,2018-01-30 00:00:00,0.95%,2010493674,2018-07-03 01:45:37
3,339,2,Vanguard Institutional Index Fund-Institutional Index Fund,32960375,2017-06-29 00:00:00,0.81%,1672739031,2018-07-03 01:45:37
4,339,2,First Eagle Global Fund,27002083,2017-07-30 00:00:00,0.66%,1358204754,2018-07-03 01:45:37
5,339,2,Vanguard/Windsor II,22951200,2017-07-30 00:00:00,0.56%,1154445342,2018-07-03 01:45:37
6,339,2,iShares Core S&P 500 ETF,19759380,2018-01-30 00:00:00,0.48%,1026302170,2018-07-03 01:45:37
7,339,2,Fidelity 500 Index Fund,18832601,2018-01-30 00:00:00,0.46%,978165270,2018-07-03 01:45:37
8,339,2,FPA Funds Tr-FPA Crescent Fund,15311810,2017-09-29 00:00:00,0.38%,737416767,2018-07-03 01:45:37
9,339,2,College Retirement Equities Fund-Stock Account,13127588,2017-06-29 00:00:00,0.32%,666225091,2018-07-03 01:45:37
