,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,332,2,Blackrock Inc.,6987704,2017-12-30 00:00:00,8.39%,1693539945,2018-07-03 01:43:00
1,332,2,"Vanguard Group, Inc. (The)",5876619,2017-12-30 00:00:00,7.05%,1424257384,2018-07-03 01:43:00
2,332,2,Price (T.Rowe) Associates Inc,4444609,2017-12-30 00:00:00,5.34%,1077195439,2018-07-03 01:43:00
3,332,2,JP Morgan Chase & Company,4412822,2017-12-30 00:00:00,5.30%,1069491542,2018-07-03 01:43:00
4,332,2,State Street Corporation,3587679,2017-12-30 00:00:00,4.31%,869509884,2018-07-03 01:43:00
5,332,2,"Polen Capital Management, LLC",2684772,2017-12-30 00:00:00,3.22%,650681343,2018-07-03 01:43:00
6,332,2,"Principal Financial Group, Inc.",2577986,2017-12-30 00:00:00,3.09%,624800688,2018-07-03 01:43:00
7,332,2,"Akre Capital Management, LLC",1894595,2017-12-30 00:00:00,2.27%,459174045,2018-07-03 01:43:00
8,332,2,UBS Group AG,1320344,2017-12-30 00:00:00,1.59%,319998572,2018-07-03 01:43:00
9,332,2,Amundi Pioneer Asset Management,1309824,2017-12-30 00:00:00,1.57%,317448945,2018-07-03 01:43:00
0,332,2,Vanguard Total Stock Market Index Fund,2096002,2017-06-29 00:00:00,2.52%,465039953,2018-07-03 01:43:00
1,332,2,Principal Mid Cap Fund,1772689,2018-01-30 00:00:00,2.13%,485610428,2018-07-03 01:43:00
2,332,2,Professionally Managed Portf-Akre Focus Fund,1543200,2017-10-30 00:00:00,1.85%,329920717,2018-07-03 01:43:00
3,332,2,Vanguard 500 Index Fund,1435510,2017-06-29 00:00:00,1.72%,318496596,2018-07-03 01:43:00
4,332,2,SPDR S&P 500 ETF Trust,1081662,2018-01-30 00:00:00,1.30%,296310490,2018-07-03 01:43:00
5,332,2,Price (T.Rowe) Mid Cap Growth Fund,1000000,2017-12-30 00:00:00,1.20%,242360000,2018-07-03 01:43:00
6,332,2,Vanguard Institutional Index Fund-Institutional Index Fund,997831,2017-06-29 00:00:00,1.20%,221388759,2018-07-03 01:43:00
7,332,2,Price (T.Rowe) Capital Appreciation Fund,927423,2017-12-30 00:00:00,1.11%,224770238,2018-07-03 01:43:00
8,332,2,Hennessy Focus Fund,842815,2017-12-30 00:00:00,1.01%,204264643,2018-07-03 01:43:00
9,332,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",686916,2018-01-30 00:00:00,0.82%,188173770,2018-07-03 01:43:00
