,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,340,2,"Vanguard Group, Inc. (The)",57965837,2017-12-30 00:00:00,7.58%,4272082010,2018-07-03 01:46:00
1,340,2,Blackrock Inc.,50479863,2017-12-30 00:00:00,6.60%,3720365749,2018-07-03 01:46:00
2,340,2,State Street Corporation,38792559,2017-12-30 00:00:00,5.07%,2859011479,2018-07-03 01:46:00
3,340,2,JP Morgan Chase & Company,37707358,2017-12-30 00:00:00,4.93%,2779032169,2018-07-03 01:46:00
4,340,2,Bank of America Corporation,22002653,2017-12-30 00:00:00,2.88%,1621595458,2018-07-03 01:46:00
5,340,2,Price (T.Rowe) Associates Inc,20457947,2017-12-30 00:00:00,2.67%,1507750631,2018-07-03 01:46:00
6,340,2,"Barrow, Hanley Mewhinney & Strauss, LLC",19262159,2017-12-30 00:00:00,2.52%,1419621059,2018-07-03 01:46:00
7,340,2,Bank Of New York Mellon Corporation,13863294,2017-12-30 00:00:00,1.81%,1021724725,2018-07-03 01:46:00
8,340,2,"Franklin Resources, Inc",13764887,2017-12-30 00:00:00,1.80%,1014472129,2018-07-03 01:46:00
9,340,2,Capital World Investors,13473963,2017-12-30 00:00:00,1.76%,993031031,2018-07-03 01:46:00
0,340,2,Vanguard Total Stock Market Index Fund,17585715,2017-06-29 00:00:00,2.30%,1048636204,2018-07-03 01:46:00
1,340,2,Vanguard 500 Index Fund,12126743,2017-06-29 00:00:00,1.58%,723117698,2018-07-03 01:46:00
2,340,2,Select Sector SPDR Fund-Energy Select,10673571,2018-01-30 00:00:00,1.39%,813753030,2018-07-03 01:46:00
3,340,2,SPDR S&P 500 ETF Trust,9724014,2018-01-30 00:00:00,1.27%,741358806,2018-07-03 01:46:00
4,340,2,"Capital Income Builder, Inc.",8829503,2017-12-30 00:00:00,1.15%,650734344,2018-07-03 01:46:00
5,340,2,Vanguard Institutional Index Fund-Institutional Index Fund,8392417,2017-06-29 00:00:00,1.10%,500439834,2018-07-03 01:46:00
6,340,2,Vanguard/Windsor II,7823057,2017-07-30 00:00:00,1.02%,490740362,2018-07-03 01:46:00
7,340,2,Income Fund of America Inc,7563206,2017-12-30 00:00:00,0.99%,557408259,2018-07-03 01:46:00
8,340,2,Franklin Custodian Funds-Income Fund,7000000,2017-06-29 00:00:00,0.91%,417410007,2018-07-03 01:46:00
9,340,2,Delaware Group Equity Funds II- Value Fund,6550822,2017-08-30 00:00:00,0.86%,387350111,2018-07-03 01:46:00
