,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,341,2,Blackrock Inc.,48420436,2017-12-30 00:00:00,9.59%,2485905191,2018-07-03 01:46:24
1,341,2,"Vanguard Group, Inc. (The)",37074545,2017-12-30 00:00:00,7.34%,1903407145,2018-07-03 01:46:24
2,341,2,State Street Corporation,26377592,2017-12-30 00:00:00,5.23%,1354225577,2018-07-03 01:46:24
3,341,2,Capital World Investors,18262784,2017-12-30 00:00:00,3.62%,937611333,2018-07-03 01:46:24
4,341,2,Lsv Asset Management,13874287,2017-12-30 00:00:00,2.75%,712305896,2018-07-03 01:46:24
5,341,2,"FMR, LLC",8498002,2017-12-30 00:00:00,1.68%,436287423,2018-07-03 01:46:24
6,341,2,Nordea Investment Management AB,7892322,2017-12-30 00:00:00,1.56%,405191812,2018-07-03 01:46:24
7,341,2,"Federated Investors, Inc.",7168388,2017-12-30 00:00:00,1.42%,368025041,2018-07-03 01:46:24
8,341,2,Bank Of New York Mellon Corporation,6947022,2017-12-30 00:00:00,1.38%,356660110,2018-07-03 01:46:24
9,341,2,"AQR Capital Management, LLC",6803929,2017-12-30 00:00:00,1.35%,349313715,2018-07-03 01:46:24
0,341,2,Vanguard Total Stock Market Index Fund,11643766,2017-06-29 00:00:00,2.31%,507901060,2018-07-03 01:46:24
1,341,2,Vanguard 500 Index Fund,7983943,2017-06-29 00:00:00,1.58%,348259585,2018-07-03 01:46:24
2,341,2,SPDR S&P 500 ETF Trust,6408701,2018-01-30 00:00:00,1.27%,324857044,2018-07-03 01:46:24
3,341,2,Select Sector SPDR Fund-Utilities,5766940,2018-01-30 00:00:00,1.14%,292326180,2018-07-03 01:46:24
4,341,2,Vanguard Institutional Index Fund-Institutional Index Fund,5555490,2017-06-29 00:00:00,1.10%,242330467,2018-07-03 01:46:24
5,341,2,Federated Strategic Value Dividend Fund,4206025,2017-07-30 00:00:00,0.83%,189102880,2018-07-03 01:46:24
6,341,2,Blackrock Equity Dividend Fund,4054110,2017-07-30 00:00:00,0.80%,182272781,2018-07-03 01:46:24
7,341,2,Franklin Custodian Funds-Income Fund,4000000,2017-06-29 00:00:00,0.79%,174479995,2018-07-03 01:46:24
8,341,2,iShares Select Dividend ETF,3320774,2018-01-30 00:00:00,0.66%,168330029,2018-07-03 01:46:24
9,341,2,iShares Core S&P 500 ETF,3268657,2018-01-30 00:00:00,0.65%,165688218,2018-07-03 01:46:24
