,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,347,2,Blackrock Inc.,452745609,2017-12-30 00:00:00,7.61%,16466357315,2018-07-03 01:48:41
1,347,2,"Vanguard Group, Inc. (The)",433008208,2017-12-30 00:00:00,7.27%,15748508062,2018-07-03 01:48:41
2,347,2,State Street Corporation,309977599,2017-12-30 00:00:00,5.21%,11273884944,2018-07-03 01:48:41
3,347,2,Bank of America Corporation,117881562,2017-12-30 00:00:00,1.98%,4287352284,2018-07-03 01:48:41
4,347,2,JP Morgan Chase & Company,115581827,2017-12-30 00:00:00,1.94%,4203710924,2018-07-03 01:48:41
5,347,2,Northern Trust Corporation,79760400,2017-12-30 00:00:00,1.34%,2900885662,2018-07-03 01:48:41
6,347,2,Bank Of New York Mellon Corporation,70738885,2017-12-30 00:00:00,1.19%,2572773171,2018-07-03 01:48:41
7,347,2,"Wellington Management Company, LLP",69289674,2017-12-30 00:00:00,1.16%,2520065369,2018-07-03 01:48:41
8,347,2,"Geode Capital Management, LLC",63123777,2017-12-30 00:00:00,1.06%,2295811702,2018-07-03 01:48:41
9,347,2,Price (T.Rowe) Associates Inc,62001273,2017-12-30 00:00:00,1.04%,2254986232,2018-07-03 01:48:41
0,347,2,Vanguard Total Stock Market Index Fund,137428989,2017-06-29 00:00:00,2.31%,4640977021,2018-07-03 01:48:41
1,347,2,Vanguard 500 Index Fund,94300517,2017-06-29 00:00:00,1.58%,3184528502,2018-07-03 01:48:41
2,347,2,SPDR S&P 500 ETF Trust,75746860,2018-01-30 00:00:00,1.27%,2955642511,2018-07-03 01:48:41
3,347,2,Vanguard Institutional Index Fund-Institutional Index Fund,65473512,2017-06-29 00:00:00,1.10%,2211040530,2018-07-03 01:48:41
4,347,2,iShares Core S&P 500 ETF,38658778,2018-01-30 00:00:00,0.65%,1508465535,2018-07-03 01:48:41
5,347,2,Vanguard/Windsor II,38138724,2017-07-30 00:00:00,0.64%,1264298758,2018-07-03 01:48:41
6,347,2,Fidelity 500 Index Fund,36845652,2018-01-30 00:00:00,0.62%,1437717357,2018-07-03 01:48:41
7,347,2,Select Sector SPDR Fund-Health Care,30960908,2018-01-30 00:00:00,0.52%,1208094644,2018-07-03 01:48:41
8,347,2,Vanguard Index-Value Index Fund,29965283,2017-06-29 00:00:00,0.50%,1011927620,2018-07-03 01:48:41
9,347,2,MFS Series Trust I-MFS Value Fund,28220491,2017-08-30 00:00:00,0.47%,944539868,2018-07-03 01:48:41
