,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,346,2,"Vanguard Group, Inc. (The)",77974862,2017-12-30 00:00:00,14.63%,5049652229,2018-07-03 01:48:18
1,346,2,Blackrock Inc.,53388532,2017-12-30 00:00:00,10.02%,3457441446,2018-07-03 01:48:18
2,346,2,State Street Corporation,29912490,2017-12-30 00:00:00,5.61%,1937132916,2018-07-03 01:48:18
3,346,2,"FMR, LLC",18464522,2017-12-30 00:00:00,3.46%,1195762484,2018-07-03 01:48:18
4,346,2,Apg Asset Management Us Inc.,17942319,2017-12-30 00:00:00,3.37%,1161944616,2018-07-03 01:48:18
5,346,2,Cohen & Steers Inc.,17870293,2017-12-30 00:00:00,3.35%,1157280212,2018-07-03 01:48:18
6,346,2,Bank Of New York Mellon Corporation,11150415,2017-12-30 00:00:00,2.09%,722100899,2018-07-03 01:48:18
7,346,2,Price (T.Rowe) Associates Inc,10577945,2017-12-30 00:00:00,1.98%,685027740,2018-07-03 01:48:18
8,346,2,"Principal Financial Group, Inc.",9655556,2017-12-30 00:00:00,1.81%,625293827,2018-07-03 01:48:18
9,346,2,JP Morgan Chase & Company,9324881,2017-12-30 00:00:00,1.75%,603879313,2018-07-03 01:48:18
0,346,2,Vanguard Specialized-REIT Index Fund,40014956,2017-07-30 00:00:00,7.51%,2462920511,2018-07-03 01:48:18
1,346,2,Vanguard Total Stock Market Index Fund,12189324,2017-06-29 00:00:00,2.29%,715757120,2018-07-03 01:48:18
2,346,2,Vanguard 500 Index Fund,8368539,2017-06-29 00:00:00,1.57%,491400620,2018-07-03 01:48:18
3,346,2,Income Fund of America Inc,7035000,2017-12-30 00:00:00,1.32%,455586615,2018-07-03 01:48:18
4,346,2,SPDR S&P 500 ETF Trust,6761807,2018-01-30 00:00:00,1.27%,428630941,2018-07-03 01:48:18
5,346,2,Price (T.Rowe) Real Estate Fund Inc.,6056300,2017-12-30 00:00:00,1.14%,392206000,2018-07-03 01:48:18
6,346,2,Vanguard Institutional Index Fund-Institutional Index Fund,5824134,2017-06-29 00:00:00,1.09%,341993155,2018-07-03 01:48:18
7,346,2,DFA Real Estate Securities Portfolio,5028044,2017-07-30 00:00:00,0.94%,309476104,2018-07-03 01:48:18
8,346,2,Fidelity Real Estate Investment Portfolio,4692300,2018-01-30 00:00:00,0.88%,297444894,2018-07-03 01:48:18
9,346,2,Cohen & Steers Realty Shares Incorporated,3641774,2017-06-29 00:00:00,0.68%,213844973,2018-07-03 01:48:18
