,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,348,2,"Vanguard Group, Inc. (The)",114749469,2017-12-30 00:00:00,7.39%,12026891565,2018-07-03 01:49:03
1,348,2,Blackrock Inc.,94653614,2017-12-30 00:00:00,6.09%,9920645052,2018-07-03 01:49:03
2,348,2,State Street Corporation,58502840,2017-12-30 00:00:00,3.77%,6131682517,2018-07-03 01:49:03
3,348,2,Capital World Investors,55505207,2017-12-30 00:00:00,3.57%,5817500610,2018-07-03 01:49:03
4,348,2,Capital Research Global Investors,52442516,2017-12-30 00:00:00,3.38%,5496499973,2018-07-03 01:49:03
5,348,2,Price (T.Rowe) Associates Inc,49487622,2017-12-30 00:00:00,3.19%,5186797541,2018-07-03 01:49:03
6,348,2,Massachusetts Financial Services Co.,32605063,2017-12-30 00:00:00,2.10%,3417336573,2018-07-03 01:49:03
7,348,2,Bank of America Corporation,26931261,2017-12-30 00:00:00,1.73%,2822665399,2018-07-03 01:49:03
8,348,2,"Wellington Management Company, LLP",26238974,2017-12-30 00:00:00,1.69%,2750106800,2018-07-03 01:49:03
9,348,2,"Ameriprise Financial, Inc.",21590966,2017-12-30 00:00:00,1.39%,2262949093,2018-07-03 01:49:03
0,348,2,Vanguard Total Stock Market Index Fund,35780975,2017-06-29 00:00:00,2.30%,4227164364,2018-07-03 01:49:03
1,348,2,Vanguard 500 Index Fund,24531669,2017-06-29 00:00:00,1.58%,2898171360,2018-07-03 01:49:03
2,348,2,SPDR S&P 500 ETF Trust,19735918,2018-01-30 00:00:00,1.27%,2143518066,2018-07-03 01:49:03
3,348,2,"Capital Income Builder, Inc.",18229700,2017-12-30 00:00:00,1.17%,1910654812,2018-07-03 01:49:03
4,348,2,Investment Company Of America,17132019,2017-12-30 00:00:00,1.10%,1795606869,2018-07-03 01:49:03
5,348,2,Vanguard Institutional Index Fund-Institutional Index Fund,17039501,2017-06-29 00:00:00,1.10%,2013046637,2018-07-03 01:49:03
6,348,2,Fundamental Investors Inc,16368000,2017-12-30 00:00:00,1.05%,1715530040,2018-07-03 01:49:03
7,348,2,American Balanced Fund,16190000,2017-12-30 00:00:00,1.04%,1696873860,2018-07-03 01:49:03
8,348,2,Growth Fund Of America Inc,14742496,2017-12-30 00:00:00,0.95%,1545160969,2018-07-03 01:49:03
9,348,2,MFS Series Trust I-MFS Value Fund,13862841,2017-08-30 00:00:00,0.89%,1601712661,2018-07-03 01:49:03
