,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,356,2,"Vanguard Group, Inc. (The)",12139068,2017-12-30 00:00:00,10.86%,1034248556,2018-07-03 01:52:01
1,356,2,Blackrock Inc.,11348077,2017-12-30 00:00:00,10.15%,966856125,2018-07-03 01:52:01
2,356,2,State Street Corporation,5812867,2017-12-30 00:00:00,5.20%,495256250,2018-07-03 01:52:01
3,356,2,Boston Partners,3511585,2017-12-30 00:00:00,3.14%,299187031,2018-07-03 01:52:01
4,356,2,"American Century Companies, Inc.",2674862,2017-12-30 00:00:00,2.39%,227898234,2018-07-03 01:52:01
5,356,2,Millennium Management LLC,2588824,2017-12-30 00:00:00,2.32%,220567796,2018-07-03 01:52:01
6,356,2,"Goldman Sachs Group, Inc.",2550278,2017-12-30 00:00:00,2.28%,217283677,2018-07-03 01:52:01
7,356,2,Capital World Investors,2500000,2017-12-30 00:00:00,2.24%,212999992,2018-07-03 01:52:01
8,356,2,"Franklin Resources, Inc",1854599,2017-12-30 00:00:00,1.66%,158011829,2018-07-03 01:52:01
9,356,2,"Barrow, Hanley Mewhinney & Strauss, LLC",1821812,2017-12-30 00:00:00,1.63%,155218376,2018-07-03 01:52:01
0,356,2,Vanguard Mid-Cap Index Fund,2758393,2017-06-29 00:00:00,2.47%,240807717,2018-07-03 01:52:01
1,356,2,iShares Select Dividend ETF,2747006,2018-01-30 00:00:00,2.46%,218084804,2018-07-03 01:52:01
2,356,2,Vanguard Total Stock Market Index Fund,2535578,2017-06-29 00:00:00,2.27%,221355967,2018-07-03 01:52:01
3,356,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,2314381,2018-01-30 00:00:00,2.07%,183738706,2018-07-03 01:52:01
4,356,2,Franklin Custodian Funds-Utilities Fund,1900000,2017-06-29 00:00:00,1.70%,165870005,2018-07-03 01:52:01
5,356,2,Vanguard 500 Index Fund,1759947,2017-06-29 00:00:00,1.57%,153643378,2018-07-03 01:52:01
6,356,2,Washington Mutual Investors Fund,1500000,2017-12-30 00:00:00,1.34%,127799995,2018-07-03 01:52:01
7,356,2,Vanguard Selected Value Fund,1443700,2017-07-30 00:00:00,1.29%,124360317,2018-07-03 01:52:01
8,356,2,SPDR S&P 500 ETF Trust,1388213,2018-01-30 00:00:00,1.24%,110210229,2018-07-03 01:52:01
9,356,2,Select Sector SPDR Fund-Utilities,1302955,2018-01-30 00:00:00,1.17%,103441596,2018-07-03 01:52:01
