,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,360,2,"Vanguard Group, Inc. (The)",14389268,2017-12-30 00:00:00,10.21%,1255751370,2018-07-03 01:53:32
1,360,2,Price (T.Rowe) Associates Inc,9848431,2017-12-30 00:00:00,6.99%,859472540,2018-07-03 01:53:32
2,360,2,Starboard Value LP,9641425,2017-12-30 00:00:00,6.84%,841407127,2018-07-03 01:53:32
3,360,2,Blackrock Inc.,8600412,2017-12-30 00:00:00,6.11%,750557926,2018-07-03 01:53:32
4,360,2,"Franklin Resources, Inc",8103945,2017-12-30 00:00:00,5.75%,707231252,2018-07-03 01:53:32
5,360,2,State Street Corporation,6166863,2017-12-30 00:00:00,4.38%,538182113,2018-07-03 01:53:32
6,360,2,Brown Brothers Harriman & Co,4878914,2017-12-30 00:00:00,3.46%,425782808,2018-07-03 01:53:32
7,360,2,"Greenlight Capital, Inc.",2836632,2017-12-30 00:00:00,2.01%,247552865,2018-07-03 01:53:32
8,360,2,Standard Life Aberdeen PLC,2452519,2017-12-30 00:00:00,1.74%,214031324,2018-07-03 01:53:32
9,360,2,Parnassus Investments /ca,2207000,2017-12-30 00:00:00,1.57%,192604882,2018-07-03 01:53:32
0,360,2,Vanguard Mid-Cap Index Fund,3368204,2017-06-29 00:00:00,2.39%,251604828,2018-07-03 01:53:32
1,360,2,Vanguard Total Stock Market Index Fund,3131515,2017-06-29 00:00:00,2.22%,233924160,2018-07-03 01:53:32
2,360,2,Price (T.Rowe) Mid-Cap Value Fund,2751700,2017-12-30 00:00:00,1.95%,240140849,2018-07-03 01:53:32
3,360,2,Vanguard 500 Index Fund,2261560,2017-06-29 00:00:00,1.61%,168938525,2018-07-03 01:53:32
4,360,2,Parnassus Endeavor Fund,2250000,2017-09-29 00:00:00,1.60%,191564998,2018-07-03 01:53:32
5,360,2,"Templeton Growth Fund, Inc.",1814790,2017-06-29 00:00:00,1.29%,135564807,2018-07-03 01:53:32
6,360,2,Franklin Managed Trust - Rising Dividends Fund,1711600,2017-06-29 00:00:00,1.21%,127856514,2018-07-03 01:53:32
7,360,2,SPDR S&P 500 ETF Trust,1676585,2018-01-30 00:00:00,1.19%,154849391,2018-07-03 01:53:32
8,360,2,Vanguard Institutional Index Fund-Institutional Index Fund,1570333,2017-06-29 00:00:00,1.11%,117303870,2018-07-03 01:53:32
9,360,2,BlackRock Global Allocation Fund,1529077,2017-07-30 00:00:00,1.09%,113870366,2018-07-03 01:53:32
