,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,361,2,"Vanguard Group, Inc. (The)",30620961,2017-12-30 00:00:00,7.26%,3527534613,2018-07-03 01:53:55
1,361,2,Blackrock Inc.,29984045,2017-12-30 00:00:00,7.11%,3454161892,2018-07-03 01:53:55
2,361,2,State Street Corporation,19738134,2017-12-30 00:00:00,4.68%,2273832976,2018-07-03 01:53:55
3,361,2,"Wellington Management Company, LLP",18137024,2017-12-30 00:00:00,4.30%,2089385109,2018-07-03 01:53:55
4,361,2,Capital Research Global Investors,12879964,2017-12-30 00:00:00,3.05%,1483771813,2018-07-03 01:53:55
5,361,2,Massachusetts Financial Services Co.,6332951,2017-12-30 00:00:00,1.50%,729555935,2018-07-03 01:53:55
6,361,2,JP Morgan Chase & Company,6326778,2017-12-30 00:00:00,1.50%,728844806,2018-07-03 01:53:55
7,361,2,Norges Bank Investment Management,5388970,2017-12-30 00:00:00,1.28%,620809327,2018-07-03 01:53:55
8,361,2,Northern Trust Corporation,5256164,2017-12-30 00:00:00,1.25%,605510076,2018-07-03 01:53:55
9,361,2,Bank Of New York Mellon Corporation,4984141,2017-12-30 00:00:00,1.18%,574173027,2018-07-03 01:53:55
0,361,2,Vanguard/Wellington Fund Inc.,12632940,2017-08-30 00:00:00,2.99%,1297150283,2018-07-03 01:53:55
1,361,2,Vanguard Total Stock Market Index Fund,9858176,2017-06-29 00:00:00,2.34%,1031165194,2018-07-03 01:53:55
2,361,2,Vanguard 500 Index Fund,6798907,2017-06-29 00:00:00,1.61%,711165661,2018-07-03 01:53:55
3,361,2,Investment Company Of America,6161514,2017-12-30 00:00:00,1.46%,709806393,2018-07-03 01:53:55
4,361,2,SPDR S&P 500 ETF Trust,5422914,2018-01-30 00:00:00,1.29%,679870743,2018-07-03 01:53:55
5,361,2,Vanguard Institutional Index Fund-Institutional Index Fund,4708890,2017-06-29 00:00:00,1.12%,492549886,2018-07-03 01:53:55
6,361,2,Select Sector SPDR Fund-Financial,4076651,2018-01-30 00:00:00,0.97%,511089747,2018-07-03 01:53:55
7,361,2,iShares Core S&P 500 ETF,2745285,2018-01-30 00:00:00,0.65%,344176387,2018-07-03 01:53:55
8,361,2,American Funds Insurance Ser-Blue Chip Income Growth Fund,2649000,2017-12-30 00:00:00,0.63%,305164791,2018-07-03 01:53:55
9,361,2,Fidelity 500 Index Fund,2620922,2018-01-30 00:00:00,0.62%,328584998,2018-07-03 01:53:55
