,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,540,2,"FMR, LLC",82888593,2017-12-30 00:00:00,6.91%,6147846791,2018-07-03 03:00:50
1,540,2,"Vanguard Group, Inc. (The)",80842746,2017-12-30 00:00:00,6.74%,5996106322,2018-07-03 03:00:50
2,540,2,Blackrock Inc.,69404765,2017-12-30 00:00:00,5.78%,5147751292,2018-07-03 03:00:50
3,540,2,Price (T.Rowe) Associates Inc,50698914,2017-12-30 00:00:00,4.22%,3760338358,2018-07-03 03:00:50
4,540,2,State Street Corporation,43686879,2017-12-30 00:00:00,3.64%,3240255735,2018-07-03 03:00:50
5,540,2,Jennison Associates LLC,16354298,2017-12-30 00:00:00,1.36%,1212998252,2018-07-03 03:00:50
6,540,2,"Jackson Square Partners, LLC",16059391,2017-12-30 00:00:00,1.34%,1191125001,2018-07-03 03:00:50
7,540,2,Invesco Ltd.,16000555,2017-12-30 00:00:00,1.33%,1186761135,2018-07-03 03:00:50
8,540,2,Edgewood Management Company,15394964,2017-12-30 00:00:00,1.28%,1141844451,2018-07-03 03:00:50
9,540,2,Fundsmith LLP,14461577,2017-12-30 00:00:00,1.20%,1072615139,2018-07-03 03:00:50
0,540,2,Vanguard Total Stock Market Index Fund,26314331,2017-06-29 00:00:00,2.19%,1387554661,2018-07-03 03:00:50
1,540,2,Fidelity Contrafund Inc,24862864,2018-01-30 00:00:00,2.07%,2096188003,2018-07-03 03:00:50
2,540,2,Vanguard 500 Index Fund,17684272,2017-06-29 00:00:00,1.47%,932491654,2018-07-03 03:00:50
3,540,2,SPDR S&P 500 ETF Trust,14319089,2018-01-30 00:00:00,1.19%,1207242358,2018-07-03 03:00:50
4,540,2,Vanguard Institutional Index Fund-Institutional Index Fund,12261501,2017-06-29 00:00:00,1.02%,646548942,2018-07-03 03:00:50
5,540,2,Price (T.Rowe) Growth Stock Fund Inc.,11184648,2017-12-30 00:00:00,0.93%,829565321,2018-07-03 03:00:50
6,540,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",9710037,2018-01-30 00:00:00,0.81%,818653195,2018-07-03 03:00:50
7,540,2,Advisors Inner Circle Fund-Edgewood Growth Fd,9247438,2017-07-30 00:00:00,0.77%,547448336,2018-07-03 03:00:50
8,540,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,8376200,2017-12-30 00:00:00,0.70%,621262738,2018-07-03 03:00:50
9,540,2,iShares Core S&P 500 ETF,7327259,2018-01-30 00:00:00,0.61%,617761188,2018-07-03 03:00:50
