,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,479,2,"Vanguard Group, Inc. (The)",4130538,2017-12-30 00:00:00,10.11%,919333872,2018-07-03 02:38:08
1,479,2,Blackrock Inc.,3256520,2017-12-30 00:00:00,7.97%,724803680,2018-07-03 02:38:08
2,479,2,State Street Corporation,2174626,2017-12-30 00:00:00,5.32%,484006524,2018-07-03 02:38:08
3,479,2,Lsv Asset Management,1874701,2017-12-30 00:00:00,4.59%,417252215,2018-07-03 02:38:08
4,479,2,Boston Partners,1740653,2017-12-30 00:00:00,4.26%,387417150,2018-07-03 02:38:08
5,479,2,"AQR Capital Management, LLC",1513602,2017-12-30 00:00:00,3.71%,336882408,2018-07-03 02:38:08
6,479,2,"Vulcan Value Partners, LLC",1443878,2017-12-30 00:00:00,3.54%,321363937,2018-07-03 02:38:08
7,479,2,Northern Trust Corporation,712553,2017-12-30 00:00:00,1.74%,158592926,2018-07-03 02:38:08
8,479,2,Citadel Advisors LLC,711800,2017-12-30 00:00:00,1.74%,158425331,2018-07-03 02:38:08
9,479,2,Robeco Institutional Asset Management B V,629745,2017-12-30 00:00:00,1.54%,140162349,2018-07-03 02:38:08
0,479,2,Vanguard Mid-Cap Index Fund,760777,2017-06-29 00:00:00,1.86%,192788502,2018-07-03 02:38:08
1,479,2,Vanguard Total Stock Market Index Fund,706089,2017-06-29 00:00:00,1.73%,178930016,2018-07-03 02:38:08
2,479,2,Vanguard 500 Index Fund,648206,2017-06-29 00:00:00,1.59%,164261884,2018-07-03 02:38:08
3,479,2,SPDR S&P 500 ETF Trust,517816,2018-01-30 00:00:00,1.27%,118486660,2018-07-03 02:38:08
4,479,2,John Hancock Mutual Fds III-Disciplined Value Fd,497632,2018-01-30 00:00:00,1.22%,113868157,2018-07-03 02:38:08
5,479,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,470222,2018-01-30 00:00:00,1.15%,107596201,2018-07-03 02:38:08
6,479,2,Vanguard Institutional Index Fund-Institutional Index Fund,450178,2017-06-29 00:00:00,1.10%,114079608,2018-07-03 02:38:08
7,479,2,Vanguard Selected Value Fund,401462,2017-07-30 00:00:00,0.98%,104323909,2018-07-03 02:38:08
8,479,2,Select Sector SPDR Fund-Financial,394889,2018-01-30 00:00:00,0.97%,90358503,2018-07-03 02:38:08
9,479,2,iShares Core S&P 500 ETF,265043,2018-01-30 00:00:00,0.65%,60647141,2018-07-03 02:38:08
