,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,531,2,"Vanguard Group, Inc. (The)",26880562,2017-12-30 00:00:00,15.84%,1866048564,2018-07-03 02:57:28
1,531,2,Blackrock Inc.,15413941,2017-12-30 00:00:00,9.08%,1070035755,2018-07-03 02:57:28
2,531,2,State Street Corporation,8553385,2017-12-30 00:00:00,5.04%,593775971,2018-07-03 02:57:28
3,531,2,Price (T.Rowe) Associates Inc,8011698,2017-12-30 00:00:00,4.72%,556172060,2018-07-03 02:57:28
4,531,2,Cohen & Steers Inc.,6453095,2017-12-30 00:00:00,3.80%,447973843,2018-07-03 02:57:28
5,531,2,Apg Asset Management Us Inc.,5247000,2017-12-30 00:00:00,3.09%,364246730,2018-07-03 02:57:28
6,531,2,Cbre Clarion Securities LLC,5093711,2017-12-30 00:00:00,3.00%,353605408,2018-07-03 02:57:28
7,531,2,"Principal Financial Group, Inc.",4796138,2017-12-30 00:00:00,2.83%,332947891,2018-07-03 02:57:28
8,531,2,JP Morgan Chase & Company,4318635,2017-12-30 00:00:00,2.54%,299799633,2018-07-03 02:57:28
9,531,2,Daiwa Securities Group Inc.,3784663,2017-12-30 00:00:00,2.23%,262731298,2018-07-03 02:57:28
0,531,2,Vanguard Specialized-REIT Index Fund,11552419,2017-07-30 00:00:00,6.81%,764308083,2018-07-03 02:57:28
1,531,2,Vanguard Mid-Cap Index Fund,3574557,2017-06-29 00:00:00,2.11%,222730651,2018-07-03 02:57:28
2,531,2,Price (T.Rowe) Real Estate Fund Inc.,3568292,2017-12-30 00:00:00,2.10%,247710824,2018-07-03 02:57:28
3,531,2,Vanguard Total Stock Market Index Fund,3322221,2017-06-29 00:00:00,1.96%,207007595,2018-07-03 02:57:28
4,531,2,Vanguard 500 Index Fund,2307700,2017-06-29 00:00:00,1.36%,143792790,2018-07-03 02:57:28
5,531,2,Cohen & Steers Realty Shares Incorporated,1936354,2017-06-29 00:00:00,1.14%,120654220,2018-07-03 02:57:28
6,531,2,SPDR S&P 500 ETF Trust,1850739,2018-01-30 00:00:00,1.09%,115800738,2018-07-03 02:57:28
7,531,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,1779794,2018-01-30 00:00:00,1.05%,111361710,2018-07-03 02:57:28
8,531,2,Vanguard Institutional Index Fund-Institutional Index Fund,1601716,2017-06-29 00:00:00,0.94%,99802926,2018-07-03 02:57:28
9,531,2,DFA Real Estate Securities Portfolio,1599666,2017-07-30 00:00:00,0.94%,105833908,2018-07-03 02:57:28
