,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,370,2,Blackrock Inc.,6011755,2017-12-30 00:00:00,5.68%,2301420093,2018-07-03 01:57:14
1,370,2,"FMR, LLC",5629339,2017-12-30 00:00:00,5.32%,2155023597,2018-07-03 01:57:14
2,370,2,"Vanguard Group, Inc. (The)",5494051,2017-12-30 00:00:00,5.19%,2103232644,2018-07-03 01:57:14
3,370,2,Capital World Investors,4807947,2017-12-30 00:00:00,4.54%,1840578305,2018-07-03 01:57:14
4,370,2,"Wellington Management Company, LLP",4327689,2017-12-30 00:00:00,4.09%,1656725934,2018-07-03 01:57:14
5,370,2,State Street Corporation,3321972,2017-12-30 00:00:00,3.14%,1271717345,2018-07-03 01:57:14
6,370,2,"Sands Capital Management, Inc.",2556612,2017-12-30 00:00:00,2.42%,978722224,2018-07-03 01:57:14
7,370,2,"Loomis Sayles & Company, LP",2101611,2017-12-30 00:00:00,1.99%,804538738,2018-07-03 01:57:14
8,370,2,Janus Henderson Group PLC,1673840,2017-12-30 00:00:00,1.58%,640779441,2018-07-03 01:57:14
9,370,2,"Polen Capital Management, LLC",1389545,2017-12-30 00:00:00,1.31%,531945627,2018-07-03 01:57:14
0,370,2,Vanguard Specialized-Health Care Fund,3255810,2017-07-30 00:00:00,3.08%,1656263077,2018-07-03 01:57:14
1,370,2,Vanguard Total Stock Market Index Fund,1801569,2017-06-29 00:00:00,1.70%,904603817,2018-07-03 01:57:14
2,370,2,iShares NASDAQ Biotechnology ETF,1373115,2018-01-30 00:00:00,1.30%,525738277,2018-07-03 01:57:14
3,370,2,New Perspective Fund Inc,1302297,2017-12-30 00:00:00,1.23%,498545347,2018-07-03 01:57:14
4,370,2,Vanguard 500 Index Fund,1202019,2017-06-29 00:00:00,1.14%,603557774,2018-07-03 01:57:14
5,370,2,Fundamental Investors Inc,1093300,2017-12-30 00:00:00,1.03%,418537114,2018-07-03 01:57:14
6,370,2,Growth Fund Of America Inc,1000000,2017-12-30 00:00:00,0.95%,382820007,2018-07-03 01:57:14
7,370,2,SPDR S&P 500 ETF Trust,978952,2018-01-30 00:00:00,0.93%,374821146,2018-07-03 01:57:14
8,370,2,Fidelity Growth Company Fund,937793,2018-01-30 00:00:00,0.89%,359062188,2018-07-03 01:57:14
9,370,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",852557,2018-01-30 00:00:00,0.81%,326427028,2018-07-03 01:57:14
