,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,364,2,"Vanguard Group, Inc. (The)",130460232,2017-12-30 00:00:00,11.62%,2267398722,2018-07-03 01:55:02
1,364,2,Blackrock Inc.,90160203,2017-12-30 00:00:00,8.03%,1566984252,2018-07-03 01:55:02
2,364,2,State Street Corporation,65036488,2017-12-30 00:00:00,5.79%,1130334106,2018-07-03 01:55:02
3,364,2,"FMR, LLC",41514623,2017-12-30 00:00:00,3.70%,721524112,2018-07-03 01:55:02
4,364,2,Boston Partners,33736092,2017-12-30 00:00:00,3.00%,586333250,2018-07-03 01:55:02
5,364,2,Lsv Asset Management,28780094,2017-12-30 00:00:00,2.56%,500198009,2018-07-03 01:55:02
6,364,2,"Goldman Sachs Group, Inc.",17392005,2017-12-30 00:00:00,1.55%,302273032,2018-07-03 01:55:02
7,364,2,Millennium Management LLC,16658150,2017-12-30 00:00:00,1.48%,289518633,2018-07-03 01:55:02
8,364,2,Bank of America Corporation,14636339,2017-12-30 00:00:00,1.30%,254379559,2018-07-03 01:55:02
9,364,2,"Geode Capital Management, LLC",14352739,2017-12-30 00:00:00,1.28%,249450591,2018-07-03 01:55:02
0,364,2,Vanguard Mid-Cap Index Fund,29716668,2017-06-29 00:00:00,2.65%,416033352,2018-07-03 01:55:02
1,364,2,Vanguard Total Stock Market Index Fund,28190263,2017-06-29 00:00:00,2.51%,394663682,2018-07-03 01:55:02
2,364,2,Vanguard 500 Index Fund,18960814,2017-06-29 00:00:00,1.69%,265451396,2018-07-03 01:55:02
3,364,2,SPDR S&P 500 ETF Trust,14750509,2018-01-30 00:00:00,1.31%,284094806,2018-07-03 01:55:02
4,364,2,Vanguard Institutional Index Fund-Institutional Index Fund,13192214,2017-06-29 00:00:00,1.17%,184690996,2018-07-03 01:55:02
5,364,2,Select Sector SPDR Fund-Financial,11152908,2018-01-30 00:00:00,0.99%,214805010,2018-07-03 01:55:02
6,364,2,John Hancock Mutual Fds III-Disciplined Value Fd,9787923,2018-01-30 00:00:00,0.87%,188515399,2018-07-03 01:55:02
7,364,2,Vanguard Mid-Cap Value Index Fund,9617340,2017-06-29 00:00:00,0.86%,134642760,2018-07-03 01:55:02
8,364,2,Putnam Equity Income Fund,7971300,2017-08-30 00:00:00,0.71%,113909876,2018-07-03 01:55:02
9,364,2,Wells Fargo Special Mid Cap Value Fd,7884400,2018-01-30 00:00:00,0.70%,151853545,2018-07-03 01:55:02
