,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,373,2,Price (T.Rowe) Associates Inc,21489796,2017-12-30 00:00:00,12.14%,2603058930,2018-07-03 01:58:19
1,373,2,"Vanguard Group, Inc. (The)",18508464,2017-12-30 00:00:00,10.46%,2241930193,2018-07-03 01:58:19
2,373,2,"FMR, LLC",13347479,2017-12-30 00:00:00,7.54%,1616780094,2018-07-03 01:58:19
3,373,2,Blackrock Inc.,11481615,2017-12-30 00:00:00,6.49%,1390767993,2018-07-03 01:58:19
4,373,2,Jennison Associates LLC,9552072,2017-12-30 00:00:00,5.40%,1157042455,2018-07-03 01:58:19
5,373,2,State Street Corporation,6784363,2017-12-30 00:00:00,3.83%,821789871,2018-07-03 01:58:19
6,373,2,"ClearBridge Investments, LLC",4995222,2017-12-30 00:00:00,2.82%,605071227,2018-07-03 01:58:19
7,373,2,UBS Group AG,3699957,2017-12-30 00:00:00,2.09%,448175781,2018-07-03 01:58:19
8,373,2,Northern Trust Corporation,3594780,2017-12-30 00:00:00,2.03%,435435691,2018-07-03 01:58:19
9,373,2,"Sustainable Growth Advisors, LP",2378934,2017-12-30 00:00:00,1.34%,288160268,2018-07-03 01:58:19
0,373,2,Vanguard Mid-Cap Index Fund,4393196,2017-06-29 00:00:00,2.48%,421746816,2018-07-03 01:58:19
1,373,2,Vanguard Total Stock Market Index Fund,4097826,2017-06-29 00:00:00,2.32%,393391296,2018-07-03 01:58:19
2,373,2,Fidelity Growth Company Fund,3918204,2018-01-30 00:00:00,2.21%,520925209,2018-07-03 01:58:19
3,373,2,Harbor Capital Appreciation Fund,3531615,2017-12-30 00:00:00,2.00%,427784515,2018-07-03 01:58:19
4,373,2,Price (T.Rowe) Mid Cap Growth Fund,3000000,2017-12-30 00:00:00,1.69%,363389991,2018-07-03 01:58:19
5,373,2,Vanguard 500 Index Fund,2804523,2017-06-29 00:00:00,1.58%,269234208,2018-07-03 01:58:19
6,373,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,2768734,2017-12-30 00:00:00,1.56%,335376741,2018-07-03 01:58:19
7,373,2,SPDR S&P 500 ETF Trust,2274732,2018-01-30 00:00:00,1.29%,302425612,2018-07-03 01:58:19
8,373,2,Fidelity Contrafund Inc,2111576,2018-01-30 00:00:00,1.19%,280734022,2018-07-03 01:58:19
9,373,2,Vanguard Institutional Index Fund-Institutional Index Fund,1951294,2017-06-29 00:00:00,1.10%,187324224,2018-07-03 01:58:19
