,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,501,2,"Vanguard Group, Inc. (The)",14281291,2017-12-30 00:00:00,9.99%,1231904192,2018-07-03 02:46:17
1,501,2,Capital World Investors,12186700,2017-12-30 00:00:00,8.53%,1051224768,2018-07-03 02:46:17
2,501,2,Blackrock Inc.,11144062,2017-12-30 00:00:00,7.80%,961286811,2018-07-03 02:46:17
3,501,2,"FMR, LLC",8068133,2017-12-30 00:00:00,5.64%,695957169,2018-07-03 02:46:17
4,501,2,State Street Corporation,5850761,2017-12-30 00:00:00,4.09%,504686656,2018-07-03 02:46:17
5,501,2,Baillie Gifford and Company,4915855,2017-12-30 00:00:00,3.44%,424041662,2018-07-03 02:46:17
6,501,2,"Geode Capital Management, LLC",1730716,2017-12-30 00:00:00,1.21%,149291565,2018-07-03 02:46:17
7,501,2,Bank Of New York Mellon Corporation,1707866,2017-12-30 00:00:00,1.19%,147320524,2018-07-03 02:46:17
8,501,2,Northern Trust Corporation,1677151,2017-12-30 00:00:00,1.17%,144671048,2018-07-03 02:46:17
9,501,2,Norges Bank Investment Management,1099025,2017-12-30 00:00:00,0.77%,94801898,2018-07-03 02:46:17
0,501,2,Fundamental Investors Inc,4382700,2017-12-30 00:00:00,3.07%,378051711,2018-07-03 02:46:17
1,501,2,Vanguard Mid-Cap Index Fund,3506361,2017-06-29 00:00:00,2.45%,270059912,2018-07-03 02:46:17
2,501,2,Vanguard Total Stock Market Index Fund,3258380,2017-06-29 00:00:00,2.28%,250960416,2018-07-03 02:46:17
3,501,2,Washington Mutual Investors Fund,3215000,2017-12-30 00:00:00,2.25%,277325906,2018-07-03 02:46:17
4,501,2,American Balanced Fund,2210000,2017-12-30 00:00:00,1.55%,190634604,2018-07-03 02:46:17
5,501,2,Vanguard Extended Market Index Fund,1791448,2017-06-29 00:00:00,1.25%,137977318,2018-07-03 02:46:17
6,501,2,SPDR S&P 500 ETF Trust,1786587,2018-01-30 00:00:00,1.25%,183696874,2018-07-03 02:46:17
7,501,2,Fidelity Series International Growth Fund,1534600,2018-01-30 00:00:00,1.07%,157787571,2018-07-03 02:46:17
8,501,2,Growth Fund Of America Inc,1510000,2017-12-30 00:00:00,1.06%,130252603,2018-07-03 02:46:17
9,501,2,Fidelity Select Portfolios - Medical Technology & Devices Port,960000,2018-01-30 00:00:00,0.67%,98707199,2018-07-03 02:46:17
