,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,369,2,Price (T.Rowe) Associates Inc,15099696,2017-12-30 00:00:00,14.68%,3934980869,2018-07-03 01:56:52
1,369,2,"Vanguard Group, Inc. (The)",11116567,2017-12-30 00:00:00,10.81%,2896977428,2018-07-03 01:56:52
2,369,2,Blackrock Inc.,7008681,2017-12-30 00:00:00,6.82%,1826462311,2018-07-03 01:56:52
3,369,2,"Franklin Resources, Inc",4977312,2017-12-30 00:00:00,4.84%,1297087537,2018-07-03 01:56:52
4,369,2,State Street Corporation,4324801,2017-12-30 00:00:00,4.21%,1127043166,2018-07-03 01:56:52
5,369,2,Massachusetts Financial Services Co.,1894018,2017-12-30 00:00:00,1.84%,493581102,2018-07-03 01:56:52
6,369,2,"Principal Financial Group, Inc.",1886909,2017-12-30 00:00:00,1.84%,491728496,2018-07-03 01:56:52
7,369,2,Brown Advisory Inc.,1755950,2017-12-30 00:00:00,1.71%,457600580,2018-07-03 01:56:52
8,369,2,"Akre Capital Management, LLC",1555441,2017-12-30 00:00:00,1.51%,405347934,2018-07-03 01:56:52
9,369,2,Harding Loevner LLC,1458802,2017-12-30 00:00:00,1.42%,380163810,2018-07-03 01:56:52
0,369,2,Franklin Managed Trust - Rising Dividends Fund,3642302,2017-06-29 00:00:00,3.54%,838166518,2018-07-03 01:56:52
1,369,2,Vanguard Mid-Cap Index Fund,2522225,2017-06-29 00:00:00,2.45%,580414404,2018-07-03 01:56:52
2,369,2,Vanguard Total Stock Market Index Fund,2349288,2017-06-29 00:00:00,2.28%,540618143,2018-07-03 01:56:52
3,369,2,Price (T.Rowe) Mid Cap Growth Fund,2000000,2017-12-30 00:00:00,1.95%,521200012,2018-07-03 01:56:52
4,369,2,Price (T.Rowe) Growth Stock Fund Inc.,1794333,2017-12-30 00:00:00,1.75%,467603190,2018-07-03 01:56:52
5,369,2,Vanguard 500 Index Fund,1609872,2017-06-29 00:00:00,1.57%,370463736,2018-07-03 01:56:52
6,369,2,Professionally Managed Portf-Akre Focus Fund,1400000,2017-10-30 00:00:00,1.36%,359869982,2018-07-03 01:56:52
7,369,2,Price (T.Rowe) Capital Appreciation Fund,1350096,2017-12-30 00:00:00,1.31%,351835025,2018-07-03 01:56:52
8,369,2,SPDR S&P 500 ETF Trust,1290410,2018-01-30 00:00:00,1.25%,362992317,2018-07-03 01:56:52
9,369,2,Principal Mid Cap Fund,1270212,2018-01-30 00:00:00,1.24%,357310620,2018-07-03 01:56:52
