,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,371,2,SailingStone Capital Partners LLC,35832571,2017-12-30 00:00:00,14.42%,631011597,2018-07-03 01:57:36
1,371,2,"Vanguard Group, Inc. (The)",24766543,2017-12-30 00:00:00,9.96%,436138837,2018-07-03 01:57:36
2,371,2,Blackrock Inc.,15543438,2017-12-30 00:00:00,6.25%,273719952,2018-07-03 01:57:36
3,371,2,State Street Corporation,15528998,2017-12-30 00:00:00,6.25%,273465664,2018-07-03 01:57:36
4,371,2,"Stelliam Investment Management, LP",8792500,2017-12-30 00:00:00,3.54%,154835930,2018-07-03 01:57:36
5,371,2,"Thompson, Siegel & Walmsley LLC",6707485,2017-12-30 00:00:00,2.70%,118118814,2018-07-03 01:57:36
6,371,2,"Key Group Holdings (Cayman), Ltd.",6299296,2017-12-30 00:00:00,2.53%,110930606,2018-07-03 01:57:36
7,371,2,Citadel Advisors LLC,5944706,2017-12-30 00:00:00,2.39%,104686276,2018-07-03 01:57:36
8,371,2,Millennium Management LLC,4809389,2017-12-30 00:00:00,1.94%,84693343,2018-07-03 01:57:36
9,371,2,"WS Management, LLP",3762152,2017-12-30 00:00:00,1.51%,66251499,2018-07-03 01:57:36
0,371,2,Vanguard Mid-Cap Index Fund,6115213,2017-06-29 00:00:00,2.46%,138509572,2018-07-03 01:57:36
1,371,2,Vanguard Total Stock Market Index Fund,5671610,2017-06-29 00:00:00,2.28%,128461964,2018-07-03 01:57:36
2,371,2,Vanguard/Windsor II,4972105,2017-07-30 00:00:00,2.00%,108739940,2018-07-03 01:57:36
3,371,2,Select Sector SPDR Fund-Energy Select,4110407,2018-01-30 00:00:00,1.65%,62026042,2018-07-03 01:57:36
4,371,2,Old Westbury Large Cap Strategies Fund,3033167,2017-07-30 00:00:00,1.22%,66335364,2018-07-03 01:57:36
5,371,2,SPDR (R) Ser Tr-SPDR (R) S&P (R) Oil & Gas Explor & Prod ETF,3027127,2018-01-30 00:00:00,1.22%,45679346,2018-07-03 01:57:36
6,371,2,Vanguard 500 Index Fund,2968428,2017-06-29 00:00:00,1.19%,67234893,2018-07-03 01:57:36
7,371,2,SPDR S&P 500 ETF Trust,2868239,2018-01-30 00:00:00,1.15%,43281726,2018-07-03 01:57:36
8,371,2,Victory Portfolios-Victory RS Global Natural Resources Fund,2835443,2017-06-29 00:00:00,1.14%,64222782,2018-07-03 01:57:36
9,371,2,Vanguard Institutional Index Fund-Institutional Index Fund,2063551,2017-06-29 00:00:00,0.83%,46739429,2018-07-03 01:57:36
