,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,372,2,"Vanguard Group, Inc. (The)",22795048,2017-12-30 00:00:00,7.90%,4306440426,2018-07-03 01:57:56
1,372,2,Blackrock Inc.,21240939,2017-12-30 00:00:00,7.36%,4012838156,2018-07-03 01:57:56
2,372,2,State Street Corporation,12513097,2017-12-30 00:00:00,4.34%,2363974262,2018-07-03 01:57:56
3,372,2,"FMR, LLC",7293743,2017-12-30 00:00:00,2.53%,1377933914,2018-07-03 01:57:56
4,372,2,Bank of America Corporation,6076461,2017-12-30 00:00:00,2.11%,1147965000,2018-07-03 01:57:56
5,372,2,Bank Of New York Mellon Corporation,4182034,2017-12-30 00:00:00,1.45%,790069855,2018-07-03 01:57:56
6,372,2,Macquarie Group Limited,3663339,2017-12-30 00:00:00,1.27%,692077997,2018-07-03 01:57:56
7,372,2,Deutsche Bank Aktiengesellschaft,3641148,2017-12-30 00:00:00,1.26%,687885673,2018-07-03 01:57:56
8,372,2,"Geode Capital Management, LLC",3486232,2017-12-30 00:00:00,1.21%,658618943,2018-07-03 01:57:56
9,372,2,"AQR Capital Management, LLC",3303925,2017-12-30 00:00:00,1.15%,624177504,2018-07-03 01:57:56
0,372,2,Vanguard Total Stock Market Index Fund,6723039,2017-06-29 00:00:00,2.33%,1083484989,2018-07-03 01:57:56
1,372,2,Vanguard 500 Index Fund,4592707,2017-06-29 00:00:00,1.59%,740160676,2018-07-03 01:57:56
2,372,2,SPDR S&P 500 ETF Trust,3701010,2018-01-30 00:00:00,1.28%,781727336,2018-07-03 01:57:56
3,372,2,Vanguard Institutional Index Fund-Institutional Index Fund,3194994,2017-06-29 00:00:00,1.11%,514905244,2018-07-03 01:57:56
4,372,2,Vanguard Specialized-Dividend Appreciation Index Fund,2501343,2017-07-30 00:00:00,0.87%,430281033,2018-07-03 01:57:56
5,372,2,Delaware Group Equity Funds II- Value Fund,2255434,2017-08-30 00:00:00,0.78%,402008568,2018-07-03 01:57:56
6,372,2,iShares Core S&P 500 ETF,1871421,2018-01-30 00:00:00,0.65%,395281545,2018-07-03 01:57:56
7,372,2,Select Sector SPDR Fund-Industrial,1806228,2018-01-30 00:00:00,0.63%,381511480,2018-07-03 01:57:56
8,372,2,Fidelity 500 Index Fund,1786970,2018-01-30 00:00:00,0.62%,377443805,2018-07-03 01:57:56
9,372,2,iShares U.S. Aerospace & Defense ETF,1738846,2018-01-30 00:00:00,0.60%,367279054,2018-07-03 01:57:56
