,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,503,2,"Vanguard Group, Inc. (The)",12390052,2017-12-30 00:00:00,10.63%,2019578476,2018-07-03 02:47:02
1,503,2,Blackrock Inc.,8393523,2017-12-30 00:00:00,7.20%,1368144249,2018-07-03 02:47:02
2,503,2,"Principal Financial Group, Inc.",5304940,2017-12-30 00:00:00,4.55%,864705220,2018-07-03 02:47:02
3,503,2,State Street Corporation,4816468,2017-12-30 00:00:00,4.13%,785084284,2018-07-03 02:47:02
4,503,2,Brown Advisory Inc.,2726629,2017-12-30 00:00:00,2.34%,444440527,2018-07-03 02:47:02
5,503,2,Price (T.Rowe) Associates Inc,2676653,2017-12-30 00:00:00,2.30%,436294439,2018-07-03 02:47:02
6,503,2,"Goldman Sachs Group, Inc.",2582045,2017-12-30 00:00:00,2.22%,420873335,2018-07-03 02:47:02
7,503,2,"American Century Companies, Inc.",2446094,2017-12-30 00:00:00,2.10%,398713322,2018-07-03 02:47:02
8,503,2,Iridian Asset Management LLC,2029797,2017-12-30 00:00:00,1.74%,330856911,2018-07-03 02:47:02
9,503,2,"Franklin Resources, Inc",1886944,2017-12-30 00:00:00,1.62%,307571872,2018-07-03 02:47:02
0,503,2,Principal Mid Cap Fund,3742649,2018-01-30 00:00:00,3.21%,634453874,2018-07-03 02:47:02
1,503,2,Vanguard Mid-Cap Index Fund,2997584,2017-06-29 00:00:00,2.57%,406892068,2018-07-03 02:47:02
2,503,2,Vanguard Total Stock Market Index Fund,2789595,2017-06-29 00:00:00,2.39%,378659640,2018-07-03 02:47:02
3,503,2,Professionally Managed Portf-Akre Focus Fund,2465000,2017-10-30 00:00:00,2.12%,370169045,2018-07-03 02:47:02
4,503,2,Vanguard Extended Market Index Fund,1529333,2017-06-29 00:00:00,1.31%,207591669,2018-07-03 02:47:02
5,503,2,SPDR S&P 500 ETF Trust,1521982,2018-01-30 00:00:00,1.31%,258006395,2018-07-03 02:47:02
6,503,2,Prudential Jennison Mid-Cap Growth Fd,1127624,2018-01-30 00:00:00,0.97%,191154825,2018-07-03 02:47:02
7,503,2,American Century Growth Fund,867831,2017-12-30 00:00:00,0.74%,141456453,2018-07-03 02:47:02
8,503,2,Vanguard Growth Index Fund,772410,2017-06-29 00:00:00,0.66%,104846937,2018-07-03 02:47:02
9,503,2,iShares Core S&P 500 ETF,765677,2018-01-30 00:00:00,0.66%,129797568,2018-07-03 02:47:02
