,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,380,2,"Vanguard Group, Inc. (The)",14636034,2017-12-30 00:00:00,10.26%,581343288,2018-07-03 02:00:55
1,380,2,Blackrock Inc.,12276978,2017-12-30 00:00:00,8.61%,487641581,2018-07-03 02:00:55
2,380,2,Newport Trust Co,6992569,2017-12-30 00:00:00,4.90%,277744849,2018-07-03 02:00:55
3,380,2,State Street Corporation,6761099,2017-12-30 00:00:00,4.74%,268550860,2018-07-03 02:00:55
4,380,2,"Goldman Sachs Group, Inc.",2939913,2017-12-30 00:00:00,2.06%,116773347,2018-07-03 02:00:55
5,380,2,Bank Of New York Mellon Corporation,2559975,2017-12-30 00:00:00,1.79%,101682210,2018-07-03 02:00:55
6,380,2,"Thompson, Siegel & Walmsley LLC",2238527,2017-12-30 00:00:00,1.57%,88914295,2018-07-03 02:00:55
7,380,2,"TPG Group Holdings (SBS) Advisors, Inc.",1897307,2017-12-30 00:00:00,1.33%,75361036,2018-07-03 02:00:55
8,380,2,Jennison Associates LLC,1744798,2017-12-30 00:00:00,1.22%,69303378,2018-07-03 02:00:55
9,380,2,Northern Trust Corporation,1697761,2017-12-30 00:00:00,1.19%,67435068,2018-07-03 02:00:55
0,380,2,Vanguard Mid-Cap Index Fund,3180467,2017-06-29 00:00:00,2.23%,218466285,2018-07-03 02:00:55
1,380,2,iShares Select Dividend ETF,3059899,2018-01-30 00:00:00,2.15%,132524229,2018-07-03 02:00:55
2,380,2,Vanguard Total Stock Market Index Fund,2942196,2017-06-29 00:00:00,2.06%,202099450,2018-07-03 02:00:55
3,380,2,Vanguard 500 Index Fund,2253985,2017-06-29 00:00:00,1.58%,154826235,2018-07-03 02:00:55
4,380,2,SPDR S&P 500 ETF Trust,1784711,2018-01-30 00:00:00,1.25%,77295835,2018-07-03 02:00:55
5,380,2,Select Sector SPDR Fund-Utilities,1625261,2018-01-30 00:00:00,1.14%,70390056,2018-07-03 02:00:55
6,380,2,Vanguard Institutional Index Fund-Institutional Index Fund,1566777,2017-06-29 00:00:00,1.10%,107621915,2018-07-03 02:00:55
7,380,2,Vanguard Mid-Cap Value Index Fund,1029107,2017-06-29 00:00:00,0.72%,70689362,2018-07-03 02:00:55
8,380,2,First Tr Exchg Tr AlphaDEX Fd-FT Utilities AlphaDEX,940900,2017-07-30 00:00:00,0.66%,57667761,2018-07-03 02:00:55
9,380,2,iShares Core S&P 500 ETF,915878,2018-01-30 00:00:00,0.64%,39666677,2018-07-03 02:00:55
