,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,381,2,Dodge & Cox Inc,87011496,2017-12-30 00:00:00,6.46%,4528078331,2018-07-03 02:01:16
1,381,2,"Vanguard Group, Inc. (The)",84042143,2017-12-30 00:00:00,6.24%,4373553198,2018-07-03 02:01:16
2,381,2,Blackrock Inc.,79858312,2017-12-30 00:00:00,5.93%,4155826629,2018-07-03 02:01:16
3,381,2,State Street Corporation,57040189,2017-12-30 00:00:00,4.24%,2968371487,2018-07-03 02:01:16
4,381,2,"FMR, LLC",51672999,2017-12-30 00:00:00,3.84%,2689062915,2018-07-03 02:01:16
5,381,2,Capital Research Global Investors,42842268,2017-12-30 00:00:00,3.18%,2229511665,2018-07-03 02:01:16
6,381,2,JP Morgan Chase & Company,39088141,2017-12-30 00:00:00,2.90%,2034146893,2018-07-03 02:01:16
7,381,2,Primecap Management Company,34768270,2017-12-30 00:00:00,2.58%,1809340802,2018-07-03 02:01:16
8,381,2,"Sands Capital Management, Inc.",25431961,2017-12-30 00:00:00,1.89%,1323479273,2018-07-03 02:01:16
9,381,2,Edgewood Management Company,20643460,2017-12-30 00:00:00,1.53%,1074285677,2018-07-03 02:01:16
0,381,2,Dodge & Cox Stock Fund,54752000,2017-09-29 00:00:00,4.07%,2411278130,2018-07-03 02:01:16
1,381,2,Vanguard Total Stock Market Index Fund,27711528,2017-06-29 00:00:00,2.06%,1181065293,2018-07-03 02:01:16
2,381,2,Vanguard/Primecap Fund,19687700,2017-06-29 00:00:00,1.46%,839089752,2018-07-03 02:01:16
3,381,2,Vanguard 500 Index Fund,19198860,2017-06-29 00:00:00,1.43%,818255392,2018-07-03 02:01:16
4,381,2,Growth Fund Of America Inc,15763500,2017-12-30 00:00:00,1.17%,820332554,2018-07-03 02:01:16
5,381,2,SPDR S&P 500 ETF Trust,15161103,2018-01-30 00:00:00,1.13%,819457605,2018-07-03 02:01:16
6,381,2,Vanguard Institutional Index Fund-Institutional Index Fund,13355461,2017-06-29 00:00:00,0.99%,569209733,2018-07-03 02:01:16
7,381,2,Investment Company Of America,12518189,2017-12-30 00:00:00,0.93%,651446567,2018-07-03 02:01:16
8,381,2,Fidelity Contrafund Inc,11848579,2018-01-30 00:00:00,0.88%,640415685,2018-07-03 02:01:16
9,381,2,Select Sector SPDR Fund-Financial,11471516,2018-01-30 00:00:00,0.85%,620035431,2018-07-03 02:01:16
