,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,527,2,"Vanguard Group, Inc. (The)",17438332,2017-12-30 00:00:00,19.31%,1760050854,2018-07-03 02:55:55
1,527,2,Blackrock Inc.,9468897,2017-12-30 00:00:00,10.48%,955695777,2018-07-03 02:55:55
2,527,2,State Street Corporation,5608522,2017-12-30 00:00:00,6.21%,566068127,2018-07-03 02:55:55
3,527,2,"FMR, LLC",4832687,2017-12-30 00:00:00,5.35%,487763100,2018-07-03 02:55:55
4,527,2,Price (T.Rowe) Associates Inc,3900908,2017-12-30 00:00:00,4.32%,393718645,2018-07-03 02:55:55
5,527,2,Morgan Stanley,3388494,2017-12-30 00:00:00,3.75%,342000700,2018-07-03 02:55:55
6,527,2,"Long Pond Capital, LP",2625594,2017-12-30 00:00:00,2.91%,265001203,2018-07-03 02:55:55
7,527,2,Norges Bank Investment Management,2535256,2017-12-30 00:00:00,2.81%,255883388,2018-07-03 02:55:55
8,527,2,Boston Partners,2283005,2017-12-30 00:00:00,2.53%,230423695,2018-07-03 02:55:55
9,527,2,"Principal Financial Group, Inc.",2083080,2017-12-30 00:00:00,2.31%,210245265,2018-07-03 02:55:55
0,527,2,Vanguard Specialized-REIT Index Fund,7603034,2017-07-30 00:00:00,8.42%,785013260,2018-07-03 02:55:55
1,527,2,Vanguard Mid-Cap Index Fund,2516307,2017-06-29 00:00:00,2.79%,266653055,2018-07-03 02:55:55
2,527,2,Vanguard Total Stock Market Index Fund,2325257,2017-06-29 00:00:00,2.57%,246407487,2018-07-03 02:55:55
3,527,2,Price (T.Rowe) Real Estate Fund Inc.,2192500,2017-12-30 00:00:00,2.43%,221289025,2018-07-03 02:55:55
4,527,2,Vanguard 500 Index Fund,1606175,2017-06-29 00:00:00,1.78%,170206366,2018-07-03 02:55:55
5,527,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,1507402,2018-01-30 00:00:00,1.67%,148433876,2018-07-03 02:55:55
6,527,2,SPDR S&P 500 ETF Trust,1284895,2018-01-30 00:00:00,1.42%,126523612,2018-07-03 02:55:55
7,527,2,Vanguard Institutional Index Fund-Institutional Index Fund,1116571,2017-06-29 00:00:00,1.24%,118323030,2018-07-03 02:55:55
8,527,2,Cohen & Steers Real Estate Securities Fund,1078532,2017-06-29 00:00:00,1.19%,114292037,2018-07-03 02:55:55
9,527,2,Cohen & Steers Realty Shares Incorporated,1002273,2017-06-29 00:00:00,1.11%,106210871,2018-07-03 02:55:55
