,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,547,2,"Vanguard Group, Inc. (The)",20236068,2017-12-30 00:00:00,8.12%,3437096273,2018-07-03 03:03:25
1,547,2,Blackrock Inc.,18078515,2017-12-30 00:00:00,7.25%,3070635883,2018-07-03 03:03:25
2,547,2,State Street Corporation,12785554,2017-12-30 00:00:00,5.13%,2171626424,2018-07-03 03:03:25
3,547,2,"FMR, LLC",10506024,2017-12-30 00:00:00,4.21%,1784448240,2018-07-03 03:03:25
4,547,2,Edgewood Management Company,6139940,2017-12-30 00:00:00,2.46%,1042868846,2018-07-03 03:03:25
5,547,2,Artisan Partners Limited Partnership,5368297,2017-12-30 00:00:00,2.15%,911805278,2018-07-03 03:03:25
6,547,2,JP Morgan Chase & Company,5019527,2017-12-30 00:00:00,2.01%,852566691,2018-07-03 03:03:25
7,547,2,"Oppenheimer Funds, Inc.",4701505,2017-12-30 00:00:00,1.89%,798550652,2018-07-03 03:03:25
8,547,2,Deutsche Bank Aktiengesellschaft,4163495,2017-12-30 00:00:00,1.67%,707169651,2018-07-03 03:03:25
9,547,2,"Independent Franchise Partners, LLP",3827389,2017-12-30 00:00:00,1.53%,650082045,2018-07-03 03:03:25
0,547,2,Vanguard Total Stock Market Index Fund,5953585,2017-06-29 00:00:00,2.39%,869759210,2018-07-03 03:03:25
1,547,2,Vanguard 500 Index Fund,4067100,2017-06-29 00:00:00,1.63%,594162624,2018-07-03 03:03:25
2,547,2,SPDR S&P 500 ETF Trust,3268078,2018-01-30 00:00:00,1.31%,591652819,2018-07-03 03:03:25
3,547,2,Vanguard Institutional Index Fund-Institutional Index Fund,2830068,2017-06-29 00:00:00,1.13%,413444623,2018-07-03 03:03:25
4,547,2,Advisors Inner Circle Fund-Edgewood Growth Fd,2824228,2017-07-30 00:00:00,1.13%,433434274,2018-07-03 03:03:25
5,547,2,Select Sector SPDR Fund-Financial,2451746,2018-01-30 00:00:00,0.98%,443864079,2018-07-03 03:03:25
6,547,2,Vanguard Specialized-Dividend Appreciation Index Fund,2206846,2017-07-30 00:00:00,0.89%,338684658,2018-07-03 03:03:25
7,547,2,Principal Mid Cap Fund,2058947,2018-01-30 00:00:00,0.83%,372751751,2018-07-03 03:03:25
8,547,2,Artisan Mid-Cap Fund,1979398,2017-06-29 00:00:00,0.79%,289170246,2018-07-03 03:03:25
9,547,2,Washington Mutual Investors Fund,1909600,2017-12-30 00:00:00,0.77%,324345571,2018-07-03 03:03:25
