,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,390,2,Blackrock Inc.,20631499,2017-12-30 00:00:00,7.82%,2209220950,2018-07-03 02:04:34
1,390,2,"Vanguard Group, Inc. (The)",18380734,2017-12-30 00:00:00,6.96%,1968209030,2018-07-03 02:04:34
2,390,2,Price (T.Rowe) Associates Inc,12900090,2017-12-30 00:00:00,4.89%,1381341660,2018-07-03 02:04:34
3,390,2,State Street Corporation,12328998,2017-12-30 00:00:00,4.67%,1320189128,2018-07-03 02:04:34
4,390,2,Capital International Investors,11475599,2017-12-30 00:00:00,4.35%,1228807161,2018-07-03 02:04:34
5,390,2,Newport Trust Co,10035597,2017-12-30 00:00:00,3.80%,1074611745,2018-07-03 02:04:34
6,390,2,"Wellington Management Company, LLP",9880257,2017-12-30 00:00:00,3.74%,1057977937,2018-07-03 02:04:34
7,390,2,"Franklin Resources, Inc",7634445,2017-12-30 00:00:00,2.89%,817496384,2018-07-03 02:04:34
8,390,2,"FMR, LLC",6855873,2017-12-30 00:00:00,2.60%,734126893,2018-07-03 02:04:34
9,390,2,Morgan Stanley,4919904,2017-12-30 00:00:00,1.86%,526823329,2018-07-03 02:04:34
0,390,2,Vanguard Total Stock Market Index Fund,5766360,2017-06-29 00:00:00,2.19%,655750466,2018-07-03 02:04:34
1,390,2,Washington Mutual Investors Fund,5460500,2017-12-30 00:00:00,2.07%,584710349,2018-07-03 02:04:34
2,390,2,Franklin Custodian Funds-Income Fund,4500000,2017-06-29 00:00:00,1.71%,511740005,2018-07-03 02:04:34
3,390,2,American Mutual Fund Inc,4339653,2017-12-30 00:00:00,1.64%,464690051,2018-07-03 02:04:34
4,390,2,Vanguard 500 Index Fund,3957394,2017-06-29 00:00:00,1.50%,450034850,2018-07-03 02:04:34
5,390,2,SPDR S&P 500 ETF Trust,3166546,2018-01-30 00:00:00,1.20%,330745720,2018-07-03 02:04:34
6,390,2,Select Sector SPDR Fund-Utilities,2876776,2018-01-30 00:00:00,1.09%,300479244,2018-07-03 02:04:34
7,390,2,Franklin Custodian Funds-Utilities Fund,2800000,2017-06-29 00:00:00,1.06%,318416003,2018-07-03 02:04:34
8,390,2,Invesco Diversified Dividend Fund,2779357,2017-12-30 00:00:00,1.05%,297613552,2018-07-03 02:04:34
9,390,2,Vanguard Institutional Index Fund-Institutional Index Fund,2750120,2017-06-29 00:00:00,1.04%,312743649,2018-07-03 02:04:34
