,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,400,2,"Vanguard Group, Inc. (The)",48569668,2017-12-30 00:00:00,7.68%,3709751108,2018-07-03 02:08:20
1,400,2,Blackrock Inc.,45354058,2017-12-30 00:00:00,7.17%,3464142825,2018-07-03 02:08:20
2,400,2,State Street Corporation,27990115,2017-12-30 00:00:00,4.43%,2137884906,2018-07-03 02:08:20
3,400,2,"FMR, LLC",24941022,2017-12-30 00:00:00,3.94%,1904995191,2018-07-03 02:08:20
4,400,2,"Wellington Management Company, LLP",24517089,2017-12-30 00:00:00,3.88%,1872615190,2018-07-03 02:08:20
5,400,2,Bank Of New York Mellon Corporation,19328384,2017-12-30 00:00:00,3.06%,1476301916,2018-07-03 02:08:20
6,400,2,Primecap Management Company,11596124,2017-12-30 00:00:00,1.83%,885711919,2018-07-03 02:08:20
7,400,2,"Alecta Pensionsforsakring, Omsesidigt",9082538,2017-12-30 00:00:00,1.44%,693724227,2018-07-03 02:08:20
8,400,2,Bank of America Corporation,8929399,2017-12-30 00:00:00,1.41%,682027471,2018-07-03 02:08:20
9,400,2,Northern Trust Corporation,8550336,2017-12-30 00:00:00,1.35%,653074640,2018-07-03 02:08:20
0,400,2,Vanguard Total Stock Market Index Fund,14062974,2017-06-29 00:00:00,2.22%,983845648,2018-07-03 02:08:20
1,400,2,Vanguard 500 Index Fund,10232111,2017-06-29 00:00:00,1.62%,715838476,2018-07-03 02:08:20
2,400,2,Vanguard Specialized-Dividend Growth Fund,9124051,2017-07-30 00:00:00,1.44%,635033935,2018-07-03 02:08:20
3,400,2,SPDR S&P 500 ETF Trust,8058011,2018-01-30 00:00:00,1.27%,651329043,2018-07-03 02:08:20
4,400,2,Vanguard Institutional Index Fund-Institutional Index Fund,7060801,2017-06-29 00:00:00,1.12%,493973631,2018-07-03 02:08:20
5,400,2,Vanguard/Primecap Fund,6779300,2017-06-29 00:00:00,1.07%,474279821,2018-07-03 02:08:20
6,400,2,Fidelity Contrafund Inc,5747014,2018-01-30 00:00:00,0.91%,464531152,2018-07-03 02:08:20
7,400,2,Vanguard Specialized-Dividend Appreciation Index Fund,5567522,2017-07-30 00:00:00,0.88%,387499522,2018-07-03 02:08:20
8,400,2,iShares Core S&P 500 ETF,4125377,2018-01-30 00:00:00,0.65%,333454230,2018-07-03 02:08:20
9,400,2,Fidelity 500 Index Fund,3933076,2018-01-30 00:00:00,0.62%,317910540,2018-07-03 02:08:20
