,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,559,2,Price (T.Rowe) Associates Inc,30160015,2017-12-30 00:00:00,10.59%,1337295069,2018-07-03 03:07:45
1,559,2,"Vanguard Group, Inc. (The)",29350959,2017-12-30 00:00:00,10.30%,1301421526,2018-07-03 03:07:45
2,559,2,Blackrock Inc.,17889600,2017-12-30 00:00:00,6.28%,793224866,2018-07-03 03:07:45
3,559,2,American International Group Inc,12287986,2017-12-30 00:00:00,4.31%,544849301,2018-07-03 03:07:45
4,559,2,State Street Corporation,11591762,2017-12-30 00:00:00,4.07%,513978728,2018-07-03 03:07:45
5,559,2,"Ameriprise Financial, Inc.",9956000,2017-12-30 00:00:00,3.49%,441449041,2018-07-03 03:07:45
6,559,2,"FMR, LLC",7400446,2017-12-30 00:00:00,2.60%,328135776,2018-07-03 03:07:45
7,559,2,"American Century Companies, Inc.",6496813,2017-12-30 00:00:00,2.28%,288068689,2018-07-03 03:07:45
8,559,2,"Renaissance Technologies, LLC",5415000,2017-12-30 00:00:00,1.90%,240101100,2018-07-03 03:07:45
9,559,2,Invesco Ltd.,5199292,2017-12-30 00:00:00,1.83%,230536608,2018-07-03 03:07:45
0,559,2,Price (T.Rowe) Mid Cap Growth Fund,11500000,2017-12-30 00:00:00,4.04%,509910001,2018-07-03 03:07:45
1,559,2,Dodge & Cox Stock Fund,8813900,2017-06-29 00:00:00,3.09%,415310958,2018-07-03 03:07:45
2,559,2,Vanguard Mid-Cap Index Fund,6950324,2017-06-29 00:00:00,2.44%,327499259,2018-07-03 03:07:45
3,559,2,Vanguard Total Stock Market Index Fund,6432521,2017-06-29 00:00:00,2.26%,303100382,2018-07-03 03:07:45
4,559,2,Vanguard 500 Index Fund,4433050,2017-06-29 00:00:00,1.56%,208885311,2018-07-03 03:07:45
5,559,2,SPDR S&P 500 ETF Trust,3564766,2018-01-30 00:00:00,1.25%,172677260,2018-07-03 03:07:45
6,559,2,Vanguard Institutional Index Fund-Institutional Index Fund,3089398,2017-06-29 00:00:00,1.08%,145572430,2018-07-03 03:07:45
7,559,2,Price (T.Rowe) Institutional Mid-Cap Equity Growth Fund,2619400,2017-12-30 00:00:00,0.92%,116144196,2018-07-03 03:07:45
8,559,2,Columbia Fds Ser Tr I-Columbia Contrarian Core Fd,2477920,2017-08-30 00:00:00,0.87%,103824851,2018-07-03 03:07:45
9,559,2,Invesco Diversified Dividend Fund,2368376,2017-12-30 00:00:00,0.83%,105013792,2018-07-03 03:07:45
