,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,407,2,Eagle Capital Management LLC,11007891,2017-12-30 00:00:00,8.72%,379772239,2018-07-03 02:10:56
1,407,2,"Vanguard Group, Inc. (The)",10654008,2017-12-30 00:00:00,8.44%,367563276,2018-07-03 02:10:56
2,407,2,Blackrock Inc.,10284829,2017-12-30 00:00:00,8.15%,354826600,2018-07-03 02:10:56
3,407,2,"Jackson Square Partners, LLC",9966688,2017-12-30 00:00:00,7.90%,343850736,2018-07-03 02:10:56
4,407,2,"SRS Investment Management, LLC",5807710,2017-12-30 00:00:00,4.60%,200365995,2018-07-03 02:10:56
5,407,2,State Street Corporation,4659345,2017-12-30 00:00:00,3.69%,160747402,2018-07-03 02:10:56
6,407,2,Price (T.Rowe) Associates Inc,4506842,2017-12-30 00:00:00,3.57%,155486049,2018-07-03 02:10:56
7,407,2,"Wellington Management Company, LLP",3817736,2017-12-30 00:00:00,3.03%,131711892,2018-07-03 02:10:56
8,407,2,"PAR Capital Management, Inc.",3316569,2017-12-30 00:00:00,2.63%,114421630,2018-07-03 02:10:56
9,407,2,Macquarie Group Limited,2731365,2017-12-30 00:00:00,2.16%,94232092,2018-07-03 02:10:56
0,407,2,Vanguard Mid-Cap Index Fund,2696333,2017-06-29 00:00:00,2.14%,98389195,2018-07-03 02:10:56
1,407,2,Vanguard Total Stock Market Index Fund,2551743,2017-06-29 00:00:00,2.02%,93113106,2018-07-03 02:10:56
2,407,2,Price (T.Rowe) Mid Cap Growth Fund,2250000,2017-12-30 00:00:00,1.78%,77625000,2018-07-03 02:10:56
3,407,2,First Trust Dow Jones Internet Index (SM) Fund,1847207,2017-09-29 00:00:00,1.46%,77471859,2018-07-03 02:10:56
4,407,2,Vanguard 500 Index Fund,1738805,2017-06-29 00:00:00,1.38%,63448997,2018-07-03 02:10:56
5,407,2,Vanguard U.S. Growth Fund,1704531,2017-08-30 00:00:00,1.35%,71556210,2018-07-03 02:10:56
6,407,2,SPDR S&P 500 ETF Trust,1415990,2018-01-30 00:00:00,1.12%,51442919,2018-07-03 02:10:56
7,407,2,Delaware Group Advisor Funds-U.S. Growth Fund,1332133,2017-07-30 00:00:00,1.06%,52459398,2018-07-03 02:10:56
8,407,2,Vanguard Institutional Index Fund-Institutional Index Fund,1210822,2017-06-29 00:00:00,0.96%,44182896,2018-07-03 02:10:56
9,407,2,Hartford Mid Cap Fund,1012773,2017-10-30 00:00:00,0.80%,37827070,2018-07-03 02:10:56
