,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,408,2,"Vanguard Group, Inc. (The)",18340906,2017-12-30 00:00:00,7.50%,1932030970,2018-07-03 02:11:18
1,408,2,Blackrock Inc.,17331073,2017-12-30 00:00:00,7.09%,1825655166,2018-07-03 02:11:18
2,408,2,State Street Corporation,13311175,2017-12-30 00:00:00,5.44%,1402199125,2018-07-03 02:11:18
3,408,2,JP Morgan Chase & Company,11801508,2017-12-30 00:00:00,4.82%,1243170809,2018-07-03 02:11:18
4,408,2,Capital World Investors,8984253,2017-12-30 00:00:00,3.67%,946401178,2018-07-03 02:11:18
5,408,2,"Sarofim, Fayez",8006760,2017-12-30 00:00:00,3.27%,843432069,2018-07-03 02:11:18
6,408,2,Massachusetts Financial Services Co.,3545802,2017-12-30 00:00:00,1.45%,373514769,2018-07-03 02:11:18
7,408,2,"Geode Capital Management, LLC",3169650,2017-12-30 00:00:00,1.30%,333890919,2018-07-03 02:11:18
8,408,2,Northern Trust Corporation,3058849,2017-12-30 00:00:00,1.25%,322219142,2018-07-03 02:11:18
9,408,2,"PNC Financial Services Group, Inc.",2978296,2017-12-30 00:00:00,1.22%,313733689,2018-07-03 02:11:18
0,408,2,Vanguard Total Stock Market Index Fund,5307205,2017-06-29 00:00:00,2.17%,393210799,2018-07-03 02:11:18
1,408,2,Income Fund of America Inc,4300000,2017-12-30 00:00:00,1.76%,452961984,2018-07-03 02:11:18
2,408,2,Vanguard 500 Index Fund,3807012,2017-06-29 00:00:00,1.56%,282061505,2018-07-03 02:11:18
3,408,2,SPDR S&P 500 ETF Trust,3079318,2018-01-30 00:00:00,1.26%,361973840,2018-07-03 02:11:18
4,408,2,Fundamental Investors Inc,3000000,2017-12-30 00:00:00,1.23%,316019989,2018-07-03 02:11:18
5,408,2,Vanguard Institutional Index Fund-Institutional Index Fund,2645358,2017-06-29 00:00:00,1.08%,195994564,2018-07-03 02:11:18
6,408,2,JP Morgan Mid Cap Value Fund,2618808,2018-01-30 00:00:00,1.07%,307840888,2018-07-03 02:11:18
7,408,2,Select Sector SPDR Fund-Financial,2329774,2018-01-30 00:00:00,0.95%,273864940,2018-07-03 02:11:18
8,408,2,MFS Series Trust I-MFS Value Fund,2142622,2017-08-30 00:00:00,0.88%,180280213,2018-07-03 02:11:18
9,408,2,JP Morgan Equity Income Fund,1823081,2018-01-30 00:00:00,0.75%,214303177,2018-07-03 02:11:18
