,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,451,2,"Vanguard Group, Inc. (The)",12461871,2017-12-30 00:00:00,9.96%,935637297,2018-07-03 02:27:41
1,451,2,Blackrock Inc.,8125064,2017-12-30 00:00:00,6.49%,610029819,2018-07-03 02:27:41
2,451,2,Bank Of New York Mellon Corporation,6334044,2017-12-30 00:00:00,5.06%,475560035,2018-07-03 02:27:41
3,451,2,State Street Corporation,5316447,2017-12-30 00:00:00,4.25%,399158850,2018-07-03 02:27:41
4,451,2,Janus Henderson Group PLC,5081153,2017-12-30 00:00:00,4.06%,381492976,2018-07-03 02:27:41
5,451,2,Massachusetts Financial Services Co.,2823189,2017-12-30 00:00:00,2.26%,211965035,2018-07-03 02:27:41
6,451,2,Waddell & Reed Financial Inc.,2149116,2017-12-30 00:00:00,1.72%,161355633,2018-07-03 02:27:41
7,451,2,"Neuberger Berman Group, LLC",2110583,2017-12-30 00:00:00,1.69%,158462575,2018-07-03 02:27:41
8,451,2,"Wedgewood Partners, Inc.",2082474,2017-12-30 00:00:00,1.66%,156352151,2018-07-03 02:27:41
9,451,2,"William Blair Investment Management, LLC",2031616,2017-12-30 00:00:00,1.62%,152533733,2018-07-03 02:27:41
0,451,2,Vanguard Mid-Cap Index Fund,3175497,2017-06-29 00:00:00,2.54%,170714713,2018-07-03 02:27:41
1,451,2,Vanguard Total Stock Market Index Fund,2998556,2017-06-29 00:00:00,2.40%,161202365,2018-07-03 02:27:41
2,451,2,Vanguard 500 Index Fund,2029661,2017-06-29 00:00:00,1.62%,109114571,2018-07-03 02:27:41
3,451,2,SPDR S&P 500 ETF Trust,1659353,2018-01-30 00:00:00,1.33%,131254819,2018-07-03 02:27:41
4,451,2,Columbia Fds Ser Tr I-Columbia Select Large Cap Growth Fd,1578230,2017-06-29 00:00:00,1.26%,84845642,2018-07-03 02:27:41
5,451,2,Janus Henderson Enterprise Fund,1468932,2017-12-30 00:00:00,1.17%,110287417,2018-07-03 02:27:41
6,451,2,Vanguard Institutional Index Fund-Institutional Index Fund,1409594,2017-06-29 00:00:00,1.13%,75779771,2018-07-03 02:27:41
7,451,2,Janus Henderson Research Fund,1336553,2017-12-30 00:00:00,1.07%,100348401,2018-07-03 02:27:41
8,451,2,Janus Henderson Contrarian Fund,1325136,2017-12-30 00:00:00,1.06%,99491213,2018-07-03 02:27:41
9,451,2,JNL Series Trust-JNL/S&P Competitive Advantage Fund,1222000,2017-06-29 00:00:00,0.98%,65694717,2018-07-03 02:27:41
