,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,411,2,"Vanguard Group, Inc. (The)",50798635,2017-12-30 00:00:00,6.51%,4653662983,2018-07-03 02:12:30
1,411,2,Blackrock Inc.,45517104,2017-12-30 00:00:00,5.84%,4169821925,2018-07-03 02:12:30
2,411,2,State Street Corporation,31406391,2017-12-30 00:00:00,4.03%,2877139498,2018-07-03 02:12:30
3,411,2,Dodge & Cox Inc,20884431,2017-12-30 00:00:00,2.68%,1913222736,2018-07-03 02:12:30
4,411,2,"Franklin Resources, Inc",13882043,2017-12-30 00:00:00,1.78%,1271733967,2018-07-03 02:12:30
5,411,2,Highfields Capital Management L.P.,11601064,2017-12-30 00:00:00,1.49%,1062773480,2018-07-03 02:12:30
6,411,2,Massachusetts Financial Services Co.,11040525,2017-12-30 00:00:00,1.42%,1011422501,2018-07-03 02:12:30
7,411,2,"Goldman Sachs Group, Inc.",10626063,2017-12-30 00:00:00,1.36%,973453637,2018-07-03 02:12:30
8,411,2,"FMR, LLC",10464071,2017-12-30 00:00:00,1.34%,958613550,2018-07-03 02:12:30
9,411,2,Capital Research Global Investors,9995715,2017-12-30 00:00:00,1.28%,915707457,2018-07-03 02:12:30
0,411,2,Vanguard Total Stock Market Index Fund,16920837,2017-06-29 00:00:00,2.17%,1680408281,2018-07-03 02:12:30
1,411,2,Dodge & Cox Stock Fund,14484477,2017-09-29 00:00:00,1.86%,1483210466,2018-07-03 02:12:30
2,411,2,Vanguard 500 Index Fund,12237366,2017-06-29 00:00:00,1.57%,1215292787,2018-07-03 02:12:30
3,411,2,SPDR S&P 500 ETF Trust,9894091,2018-01-30 00:00:00,1.27%,934991599,2018-07-03 02:12:30
4,411,2,Vanguard Institutional Index Fund-Institutional Index Fund,8511202,2017-06-29 00:00:00,1.09%,845247449,2018-07-03 02:12:30
5,411,2,iShares Core S&P 500 ETF,5049591,2018-01-30 00:00:00,0.65%,477186349,2018-07-03 02:12:30
6,411,2,Fidelity 500 Index Fund,4812812,2018-01-30 00:00:00,0.62%,454810734,2018-07-03 02:12:30
7,411,2,Franklin Mutual Series Fund-Mutual Global Discovery Fund,4708466,2017-06-29 00:00:00,0.60%,467597746,2018-07-03 02:12:30
8,411,2,Investment Company Of America,4607932,2017-12-30 00:00:00,0.59%,422132653,2018-07-03 02:12:30
9,411,2,Growth Fund Of America Inc,4000000,2017-12-30 00:00:00,0.51%,366440002,2018-07-03 02:12:30
