,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,551,2,Baillie Gifford and Company,22434793,2017-12-30 00:00:00,12.11%,348187997,2018-07-03 03:04:52
1,551,2,"Vanguard Group, Inc. (The)",18384824,2017-12-30 00:00:00,9.92%,285332476,2018-07-03 03:04:52
2,551,2,Blackrock Inc.,11568717,2017-12-30 00:00:00,6.24%,179546493,2018-07-03 03:04:52
3,551,2,Morgan Stanley,8477489,2017-12-30 00:00:00,4.58%,131570633,2018-07-03 03:04:52
4,551,2,State Street Corporation,7091279,2017-12-30 00:00:00,3.83%,110056653,2018-07-03 03:04:52
5,551,2,"Wellington Management Company, LLP",5159089,2017-12-30 00:00:00,2.78%,80069063,2018-07-03 03:04:52
6,551,2,"Loomis Sayles & Company, LP",5152381,2017-12-30 00:00:00,2.78%,79964955,2018-07-03 03:04:52
7,551,2,BAMCO Inc.,3718767,2017-12-30 00:00:00,2.01%,57715265,2018-07-03 03:04:52
8,551,2,Hexavest Inc.,2728194,2017-12-30 00:00:00,1.47%,42341572,2018-07-03 03:04:52
9,551,2,"Goldman Sachs Group, Inc.",2536636,2017-12-30 00:00:00,1.37%,39368591,2018-07-03 03:04:52
0,551,2,Vanguard Mid-Cap Index Fund,4563313,2017-06-29 00:00:00,2.46%,99343326,2018-07-03 03:04:52
1,551,2,Vanguard Total Stock Market Index Fund,4227140,2017-06-29 00:00:00,2.28%,92024839,2018-07-03 03:04:52
2,551,2,Baron Growth Fund,3475000,2017-06-29 00:00:00,1.88%,75650751,2018-07-03 03:04:52
3,551,2,Vanguard 500 Index Fund,2914593,2017-06-29 00:00:00,1.57%,63450690,2018-07-03 03:04:52
4,551,2,Baron Partners Fund,2296100,2017-06-29 00:00:00,1.24%,49986098,2018-07-03 03:04:52
5,551,2,SPDR S&P 500 ETF Trust,2276085,2018-01-30 00:00:00,1.23%,33071514,2018-07-03 03:04:52
6,551,2,Vanguard Institutional Index Fund-Institutional Index Fund,2018137,2017-06-29 00:00:00,1.09%,43934843,2018-07-03 03:04:52
7,551,2,iShares Core S&P 500 ETF,1249558,2018-01-30 00:00:00,0.67%,18156077,2018-07-03 03:04:52
8,551,2,"Hartford Capital Appreciation HLS Fund, Inc.",1188463,2017-12-30 00:00:00,0.64%,18444946,2018-07-03 03:04:52
9,551,2,Vanguard Growth Index Fund,1178624,2017-06-29 00:00:00,0.64%,25658645,2018-07-03 03:04:52
