,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,515,2,"Vanguard Group, Inc. (The)",8966124,2017-12-30 00:00:00,10.31%,1025455626,2018-07-03 02:51:27
1,515,2,"Wellington Management Company, LLP",7479051,2017-12-30 00:00:00,8.60%,855379083,2018-07-03 02:51:27
2,515,2,Blackrock Inc.,6338360,2017-12-30 00:00:00,7.29%,724918250,2018-07-03 02:51:27
3,515,2,Maverick Capital Ltd.,5442665,2017-12-30 00:00:00,6.26%,622477610,2018-07-03 02:51:27
4,515,2,"Glenview Capital Management, LLC",4126555,2017-12-30 00:00:00,4.74%,471954106,2018-07-03 02:51:27
5,515,2,State Street Corporation,3710816,2017-12-30 00:00:00,4.27%,424406036,2018-07-03 02:51:27
6,515,2,"FMR, LLC",3550474,2017-12-30 00:00:00,4.08%,406067721,2018-07-03 02:51:27
7,515,2,Janus Henderson Group PLC,2709363,2017-12-30 00:00:00,3.11%,309869853,2018-07-03 02:51:27
8,515,2,JP Morgan Chase & Company,1957266,2017-12-30 00:00:00,2.25%,223852517,2018-07-03 02:51:27
9,515,2,"Wedge Capital Management, L.L.P.",1844034,2017-12-30 00:00:00,2.12%,210902173,2018-07-03 02:51:27
0,515,2,Vanguard Specialized-Health Care Fund,4354800,2017-07-30 00:00:00,5.01%,485560200,2018-07-03 02:51:27
1,515,2,Vanguard Mid-Cap Index Fund,2210615,2017-06-29 00:00:00,2.54%,260940996,2018-07-03 02:51:27
2,515,2,Vanguard Total Stock Market Index Fund,2053884,2017-06-29 00:00:00,2.36%,242440469,2018-07-03 02:51:27
3,515,2,Vanguard 500 Index Fund,1410411,2017-06-29 00:00:00,1.62%,166484915,2018-07-03 02:51:27
4,515,2,JP Morgan Mid Cap Value Fund,1348215,2018-01-30 00:00:00,1.55%,162149813,2018-07-03 02:51:27
5,515,2,SPDR S&P 500 ETF Trust,1120715,2018-01-30 00:00:00,1.29%,134788389,2018-07-03 02:51:27
6,515,2,Janus Henderson Research Fund,1011096,2017-12-30 00:00:00,1.16%,115639052,2018-07-03 02:51:27
7,515,2,Vanguard Institutional Index Fund-Institutional Index Fund,982979,2017-06-29 00:00:00,1.13%,116030842,2018-07-03 02:51:27
8,515,2,Vanguard Mid-Cap Value Index Fund,715311,2017-06-29 00:00:00,0.82%,84435311,2018-07-03 02:51:27
9,515,2,College Retirement Equities Fund-Stock Account,600782,2017-06-29 00:00:00,0.69%,70916307,2018-07-03 02:51:27
