,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,511,2,"Vanguard Group, Inc. (The)",5797414,2017-12-30 00:00:00,9.51%,1306331307,2018-07-03 02:50:00
1,511,2,Capital World Investors,5777700,2017-12-30 00:00:00,9.47%,1301889151,2018-07-03 02:50:00
2,511,2,Blackrock Inc.,5159690,2017-12-30 00:00:00,8.46%,1162632957,2018-07-03 02:50:00
3,511,2,State Street Corporation,2453750,2017-12-30 00:00:00,4.02%,552903491,2018-07-03 02:50:00
4,511,2,"AllianceBernstein, L.P.",2125037,2017-12-30 00:00:00,3.48%,478834591,2018-07-03 02:50:00
5,511,2,Morgan Stanley,1947367,2017-12-30 00:00:00,3.19%,438800209,2018-07-03 02:50:00
6,511,2,"Ameriprise Financial, Inc.",1898520,2017-12-30 00:00:00,3.11%,427793515,2018-07-03 02:50:00
7,511,2,Price (T.Rowe) Associates Inc,1464972,2017-12-30 00:00:00,2.40%,330102143,2018-07-03 02:50:00
8,511,2,"Sustainable Growth Advisors, LP",1118813,2017-12-30 00:00:00,1.83%,252102135,2018-07-03 02:50:00
9,511,2,Bank of America Corporation,1104343,2017-12-30 00:00:00,1.81%,248841610,2018-07-03 02:50:00
0,511,2,Growth Fund Of America Inc,3095000,2017-12-30 00:00:00,5.07%,697396355,2018-07-03 02:50:00
1,511,2,Vanguard Mid-Cap Index Fund,1458692,2017-06-29 00:00:00,2.39%,412605597,2018-07-03 02:50:00
2,511,2,Fundamental Investors Inc,1415000,2017-12-30 00:00:00,2.32%,318841952,2018-07-03 02:50:00
3,511,2,Vanguard Total Stock Market Index Fund,1355181,2017-06-29 00:00:00,2.22%,383326477,2018-07-03 02:50:00
4,511,2,American Funds Insurance Ser-Growth Fund,1120000,2017-12-30 00:00:00,1.84%,252369602,2018-07-03 02:50:00
5,511,2,Vanguard 500 Index Fund,920162,2017-06-29 00:00:00,1.51%,260277009,2018-07-03 02:50:00
6,511,2,SPDR S&P 500 ETF Trust,737030,2018-01-30 00:00:00,1.21%,168890420,2018-07-03 02:50:00
7,511,2,Vanguard Institutional Index Fund-Institutional Index Fund,639351,2017-06-29 00:00:00,1.05%,180846814,2018-07-03 02:50:00
8,511,2,Price (T.Rowe) Mid Cap Growth Fund,525000,2017-12-30 00:00:00,0.86%,118298250,2018-07-03 02:50:00
9,511,2,Columbia Fds Ser Tr I-Columbia Select Large Cap Growth Fd,506687,2017-09-29 00:00:00,0.83%,115352364,2018-07-03 02:50:00
