,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,514,2,"Vanguard Group, Inc. (The)",9432840,2017-12-30 00:00:00,11.21%,1634994174,2018-07-03 02:51:05
1,514,2,Blackrock Inc.,6041996,2017-12-30 00:00:00,7.18%,1047259177,2018-07-03 02:51:05
2,514,2,State Street Corporation,5117063,2017-12-30 00:00:00,6.08%,886940539,2018-07-03 02:51:05
3,514,2,"FMR, LLC",4202571,2017-12-30 00:00:00,4.99%,728431639,2018-07-03 02:51:05
4,514,2,"AQR Capital Management, LLC",2730387,2017-12-30 00:00:00,3.24%,473257983,2018-07-03 02:51:05
5,514,2,Amundi Pioneer Asset Management,1524419,2017-12-30 00:00:00,1.81%,264227548,2018-07-03 02:51:05
6,514,2,"Goldman Sachs Group, Inc.",1332695,2017-12-30 00:00:00,1.58%,230996026,2018-07-03 02:51:05
7,514,2,Bank of America Corporation,1321022,2017-12-30 00:00:00,1.57%,228972745,2018-07-03 02:51:05
8,514,2,Bank of Montreal/Can/,1312336,2017-12-30 00:00:00,1.56%,227467201,2018-07-03 02:51:05
9,514,2,JP Morgan Chase & Company,1300771,2017-12-30 00:00:00,1.55%,225462639,2018-07-03 02:51:05
0,514,2,Vanguard Mid-Cap Index Fund,2089734,2017-06-29 00:00:00,2.48%,221052059,2018-07-03 02:51:05
1,514,2,Vanguard Total Stock Market Index Fund,1935619,2017-06-29 00:00:00,2.30%,204749775,2018-07-03 02:51:05
2,514,2,Vanguard 500 Index Fund,1333624,2017-06-29 00:00:00,1.58%,141070745,2018-07-03 02:51:05
3,514,2,SPDR S&P 500 ETF Trust,1063306,2018-01-30 00:00:00,1.26%,191894835,2018-07-03 02:51:05
4,514,2,Vanguard Institutional Index Fund-Institutional Index Fund,929331,2017-06-29 00:00:00,1.10%,98304632,2018-07-03 02:51:05
5,514,2,JP Morgan Large Cap Growth Fund,628850,2018-01-30 00:00:00,0.75%,113488560,2018-07-03 02:51:05
6,514,2,Vanguard Strategic Equity Fund,581060,2017-06-29 00:00:00,0.69%,61464526,2018-07-03 02:51:05
7,514,2,Elfun Trusts,580000,2017-09-29 00:00:00,0.69%,78700201,2018-07-03 02:51:05
8,514,2,iShares Core S&P 500 ETF,552236,2018-01-30 00:00:00,0.66%,99662031,2018-07-03 02:51:05
9,514,2,Fidelity Advisor New Insights Fund,538400,2018-01-30 00:00:00,0.64%,97165048,2018-07-03 02:51:05
