,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,421,2,"Vanguard Group, Inc. (The)",129187103,2017-12-30 00:00:00,7.17%,14772545030,2018-07-03 02:16:18
1,421,2,Blackrock Inc.,120243230,2017-12-30 00:00:00,6.67%,13749813167,2018-07-03 02:16:18
2,421,2,"FMR, LLC",84502972,2017-12-30 00:00:00,4.69%,9662914719,2018-07-03 02:16:18
3,421,2,Price (T.Rowe) Associates Inc,82510176,2017-12-30 00:00:00,4.58%,9435038499,2018-07-03 02:16:18
4,421,2,State Street Corporation,79261825,2017-12-30 00:00:00,4.40%,9063589567,2018-07-03 02:16:18
5,421,2,Massachusetts Financial Services Co.,37162155,2017-12-30 00:00:00,2.06%,4249492367,2018-07-03 02:16:18
6,421,2,Capital World Investors,30491736,2017-12-30 00:00:00,1.69%,3486729965,2018-07-03 02:16:18
7,421,2,Morgan Stanley,28056205,2017-12-30 00:00:00,1.56%,3208226998,2018-07-03 02:16:18
8,421,2,JP Morgan Chase & Company,25212526,2017-12-30 00:00:00,1.40%,2883052309,2018-07-03 02:16:18
9,421,2,"Wellington Management Company, LLP",22108556,2017-12-30 00:00:00,1.23%,2528113344,2018-07-03 02:16:18
0,421,2,Vanguard Total Stock Market Index Fund,42493554,2017-06-29 00:00:00,2.36%,4032638339,2018-07-03 02:16:18
1,421,2,Vanguard 500 Index Fund,29164844,2017-06-29 00:00:00,1.62%,2767743740,2018-07-03 02:16:18
2,421,2,Fidelity Contrafund Inc,27081982,2018-01-30 00:00:00,1.50%,3380914533,2018-07-03 02:16:18
3,421,2,SPDR S&P 500 ETF Trust,23048240,2018-01-30 00:00:00,1.28%,2877342197,2018-07-03 02:16:18
4,421,2,Vanguard Institutional Index Fund-Institutional Index Fund,20254976,2017-06-29 00:00:00,1.12%,1922197253,2018-07-03 02:16:18
5,421,2,Growth Fund Of America Inc,13452000,2017-12-30 00:00:00,0.75%,1538236179,2018-07-03 02:16:18
6,421,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,13050900,2017-12-30 00:00:00,0.72%,1492370395,2018-07-03 02:16:18
7,421,2,iShares Core S&P 500 ETF,11761449,2018-01-30 00:00:00,0.65%,1468299250,2018-07-03 02:16:18
8,421,2,Vanguard Growth Index Fund,11750582,2017-06-29 00:00:00,0.65%,1115130249,2018-07-03 02:16:18
9,421,2,Price (T.Rowe) Growth Stock Fund Inc.,11489346,2017-12-30 00:00:00,0.64%,1313806697,2018-07-03 02:16:18
