,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,423,2,Capital Research Global Investors,43215147,2017-12-30 00:00:00,12.25%,1331458655,2018-07-03 02:17:04
1,423,2,"Vanguard Group, Inc. (The)",35502074,2017-12-30 00:00:00,10.06%,1093818880,2018-07-03 02:17:04
2,423,2,Blackrock Inc.,23226736,2017-12-30 00:00:00,6.58%,715615723,2018-07-03 02:17:04
3,423,2,State Street Corporation,15752169,2017-12-30 00:00:00,4.46%,485324318,2018-07-03 02:17:04
4,423,2,Capital International Investors,9489021,2017-12-30 00:00:00,2.69%,292356731,2018-07-03 02:17:04
5,423,2,"Wellington Management Company, LLP",9046020,2017-12-30 00:00:00,2.56%,278707871,2018-07-03 02:17:04
6,423,2,"AQR Capital Management, LLC",7663422,2017-12-30 00:00:00,2.17%,236110027,2018-07-03 02:17:04
7,423,2,Price (T.Rowe) Associates Inc,7161829,2017-12-30 00:00:00,2.03%,220655947,2018-07-03 02:17:04
8,423,2,Oldfield Partners LLP,6722920,2017-12-30 00:00:00,1.90%,207133161,2018-07-03 02:17:04
9,423,2,"Goldman Sachs Group, Inc.",6287761,2017-12-30 00:00:00,1.78%,193725913,2018-07-03 02:17:04
0,423,2,Investment Company Of America,15905292,2017-12-30 00:00:00,4.51%,490042038,2018-07-03 02:17:04
1,423,2,Growth Fund Of America Inc,10032819,2017-12-30 00:00:00,2.84%,309111148,2018-07-03 02:17:04
2,423,2,Capital World Growth and Income Fund,8326688,2017-12-30 00:00:00,2.36%,256545252,2018-07-03 02:17:04
3,423,2,Vanguard Total Stock Market Index Fund,8306712,2017-06-29 00:00:00,2.35%,294140670,2018-07-03 02:17:04
4,423,2,Vanguard 500 Index Fund,5555635,2017-06-29 00:00:00,1.57%,196725034,2018-07-03 02:17:04
5,423,2,Amcap Fund,5065000,2017-12-30 00:00:00,1.44%,156052647,2018-07-03 02:17:04
6,423,2,Price (T.Rowe) Mid-Cap Value Fund,4901700,2017-12-30 00:00:00,1.39%,151021374,2018-07-03 02:17:04
7,423,2,American Funds Insurance Ser-Growth/Income Fund,4600800,2017-12-30 00:00:00,1.30%,141750645,2018-07-03 02:17:04
8,423,2,SPDR S&P 500 ETF Trust,4463500,2018-01-30 00:00:00,1.26%,150464580,2018-07-03 02:17:04
9,423,2,Vanguard Mid-Cap Index Fund,4354301,2017-06-29 00:00:00,1.23%,154185797,2018-07-03 02:17:04
