,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,419,2,"Vanguard Group, Inc. (The)",13687934,2017-12-30 00:00:00,10.34%,1746580357,2018-07-03 02:15:34
1,419,2,State Farm Mutual Automobile Insurance Co,12680600,2017-12-30 00:00:00,9.58%,1618044540,2018-07-03 02:15:34
2,419,2,Blackrock Inc.,10394204,2017-12-30 00:00:00,7.85%,1326300414,2018-07-03 02:15:34
3,419,2,Price (T.Rowe) Associates Inc,9026862,2017-12-30 00:00:00,6.82%,1151827577,2018-07-03 02:15:34
4,419,2,State Street Corporation,5601743,2017-12-30 00:00:00,4.23%,714782398,2018-07-03 02:15:34
5,419,2,JP Morgan Chase & Company,3755149,2017-12-30 00:00:00,2.84%,479157006,2018-07-03 02:15:34
6,419,2,Janus Henderson Group PLC,2936860,2017-12-30 00:00:00,2.22%,374743331,2018-07-03 02:15:34
7,419,2,Morgan Stanley,2861265,2017-12-30 00:00:00,2.16%,365097409,2018-07-03 02:15:34
8,419,2,"Third Point, LLC",2600000,2017-12-30 00:00:00,1.96%,331759996,2018-07-03 02:15:34
9,419,2,Bank Of New York Mellon Corporation,2542748,2017-12-30 00:00:00,1.92%,324454640,2018-07-03 02:15:34
0,419,2,Vanguard Mid-Cap Index Fund,3265683,2017-06-29 00:00:00,2.47%,429045448,2018-07-03 02:15:34
1,419,2,Vanguard Total Stock Market Index Fund,3042257,2017-06-29 00:00:00,2.30%,399691739,2018-07-03 02:15:34
2,419,2,Vanguard 500 Index Fund,2084581,2017-06-29 00:00:00,1.58%,273872261,2018-07-03 02:15:34
3,419,2,SPDR S&P 500 ETF Trust,1664480,2018-01-30 00:00:00,1.26%,231229558,2018-07-03 02:15:34
4,419,2,MFS Series Trust II-MFS Growth Fund,1564794,2017-08-30 00:00:00,1.18%,181422220,2018-07-03 02:15:34
5,419,2,Price (T.Rowe) Mid-Cap Value Fund,1551200,2017-12-30 00:00:00,1.17%,197933117,2018-07-03 02:15:34
6,419,2,Vanguard Institutional Index Fund-Institutional Index Fund,1450854,2017-06-29 00:00:00,1.10%,190613205,2018-07-03 02:15:34
7,419,2,Price (T.Rowe) Equity Income Fund,1265000,2017-12-30 00:00:00,0.96%,161413998,2018-07-03 02:15:34
8,419,2,Janus Henderson Research Fund,1175252,2017-12-30 00:00:00,0.89%,149962153,2018-07-03 02:15:34
9,419,2,Select Sector SPDR Fund-Materials,1072810,2018-01-30 00:00:00,0.81%,149034763,2018-07-03 02:15:34
