,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,428,2,"Vanguard Group, Inc. (The)",30211674,2017-12-30 00:00:00,15.90%,2358625379,2018-07-03 02:19:00
1,428,2,Blackrock Inc.,17002601,2017-12-30 00:00:00,8.95%,1327393054,2018-07-03 02:19:00
2,428,2,Norges Bank Investment Management,12382373,2017-12-30 00:00:00,6.52%,966691856,2018-07-03 02:19:00
3,428,2,State Street Corporation,9702335,2017-12-30 00:00:00,5.11%,757461290,2018-07-03 02:19:00
4,428,2,Morgan Stanley,9395804,2017-12-30 00:00:00,4.95%,733530415,2018-07-03 02:19:00
5,428,2,JP Morgan Chase & Company,8731106,2017-12-30 00:00:00,4.60%,681637442,2018-07-03 02:19:00
6,428,2,Apg Asset Management Us Inc.,5169407,2017-12-30 00:00:00,2.72%,403575602,2018-07-03 02:19:00
7,428,2,"Franklin Resources, Inc",4000880,2017-12-30 00:00:00,2.11%,312348700,2018-07-03 02:19:00
8,428,2,Price (T.Rowe) Associates Inc,3937139,2017-12-30 00:00:00,2.07%,307372440,2018-07-03 02:19:00
9,428,2,LaSalle Investment Management Securities LLC,3908787,2017-12-30 00:00:00,2.06%,305158999,2018-07-03 02:19:00
0,428,2,Vanguard Specialized-REIT Index Fund,12865285,2017-07-30 00:00:00,6.77%,1015842891,2018-07-03 02:19:00
1,428,2,Vanguard Total Stock Market Index Fund,3908373,2017-06-29 00:00:00,2.06%,296556090,2018-07-03 02:19:00
2,428,2,Vanguard 500 Index Fund,2719061,2017-06-29 00:00:00,1.43%,206314520,2018-07-03 02:19:00
3,428,2,JP Morgan Mid Cap Value Fund,2273506,2018-01-30 00:00:00,1.20%,161759955,2018-07-03 02:19:00
4,428,2,SPDR S&P 500 ETF Trust,2179420,2018-01-30 00:00:00,1.15%,155065736,2018-07-03 02:19:00
5,428,2,Price (T.Rowe) Real Estate Fund Inc.,1985700,2017-12-30 00:00:00,1.05%,155023598,2018-07-03 02:19:00
6,428,2,Vanguard Institutional Index Fund-Institutional Index Fund,1892417,2017-06-29 00:00:00,1.00%,143591153,2018-07-03 02:19:00
7,428,2,DFA Real Estate Securities Portfolio,1639064,2017-07-30 00:00:00,0.86%,129420491,2018-07-03 02:19:00
8,428,2,Franklin Mutual Series Fund-Mutual Shares Fund,1320942,2017-06-29 00:00:00,0.70%,100229275,2018-07-03 02:19:00
9,428,2,iShares Core S&P 500 ETF,1113897,2018-01-30 00:00:00,0.59%,79253773,2018-07-03 02:19:00
