,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,430,2,"Berkshire Hathaway, Inc",12952745,2017-12-30 00:00:00,13.34%,1496042047,2018-07-03 02:19:47
1,430,2,Capital World Investors,12249700,2017-12-30 00:00:00,12.61%,1414840350,2018-07-03 02:19:47
2,430,2,"Vanguard Group, Inc. (The)",8608062,2017-12-30 00:00:00,8.86%,994231161,2018-07-03 02:19:47
3,430,2,Blackrock Inc.,8531215,2017-12-30 00:00:00,8.78%,985355332,2018-07-03 02:19:47
4,430,2,"Renaissance Technologies, LLC",6826054,2017-12-30 00:00:00,7.03%,788409237,2018-07-03 02:19:47
5,430,2,"Wellington Management Company, LLP",6646526,2017-12-30 00:00:00,6.84%,767673753,2018-07-03 02:19:47
6,430,2,"Shaw D.E. & Co., Inc.",4407221,2017-12-30 00:00:00,4.54%,509034025,2018-07-03 02:19:47
7,430,2,State Street Corporation,3954769,2017-12-30 00:00:00,4.07%,456775819,2018-07-03 02:19:47
8,430,2,Price (T.Rowe) Associates Inc,3921676,2017-12-30 00:00:00,4.04%,452953578,2018-07-03 02:19:47
9,430,2,"Principal Financial Group, Inc.",3436362,2017-12-30 00:00:00,3.54%,396899811,2018-07-03 02:19:47
0,430,2,American Balanced Fund,5300000,2017-12-30 00:00:00,5.46%,612150000,2018-07-03 02:19:47
1,430,2,New Perspective Fund Inc,3269844,2017-12-30 00:00:00,3.37%,377666982,2018-07-03 02:19:47
2,430,2,American Funds Insurance Ser-Asset Allocation Fund,3140000,2017-12-30 00:00:00,3.23%,362670000,2018-07-03 02:19:47
3,430,2,Principal Mid Cap Fund,2318827,2018-01-30 00:00:00,2.39%,260659351,2018-07-03 02:19:47
4,430,2,Vanguard Mid-Cap Index Fund,2130332,2017-06-29 00:00:00,2.19%,197694816,2018-07-03 02:19:47
5,430,2,Vanguard Total Stock Market Index Fund,2087748,2017-06-29 00:00:00,2.15%,193743020,2018-07-03 02:19:47
6,430,2,Hartford Mid Cap Fund,2041725,2017-10-30 00:00:00,2.10%,219648779,2018-07-03 02:19:47
7,430,2,Vanguard/Windsor Fund Inc.,1590000,2017-07-30 00:00:00,1.64%,162975000,2018-07-03 02:19:47
8,430,2,Price (T.Rowe) Mid Cap Growth Fund,1500000,2017-12-30 00:00:00,1.54%,173250000,2018-07-03 02:19:47
9,430,2,Vanguard 500 Index Fund,1393476,2017-06-29 00:00:00,1.43%,129314577,2018-07-03 02:19:47
