,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,562,2,"Vanguard Group, Inc. (The)",53996698,2017-12-30 00:00:00,14.52%,7829520,2018-07-03 03:08:51
1,562,2,Blackrock Inc.,37052342,2017-12-30 00:00:00,9.96%,5372589,2018-07-03 03:08:51
2,562,2,State Street Corporation,21204458,2017-12-30 00:00:00,5.70%,3074646,2018-07-03 03:08:51
3,562,2,"FMR, LLC",10685740,2017-12-30 00:00:00,2.87%,1549432,2018-07-03 03:08:51
4,562,2,Invesco Ltd.,9023313,2017-12-30 00:00:00,2.43%,1308380,2018-07-03 03:08:51
5,562,2,Bank Of New York Mellon Corporation,8724771,2017-12-30 00:00:00,2.35%,1265091,2018-07-03 03:08:51
6,562,2,Wells Fargo & Company,6952471,2017-12-30 00:00:00,1.87%,1008108,2018-07-03 03:08:51
7,562,2,Northern Trust Corporation,6463745,2017-12-30 00:00:00,1.74%,937242,2018-07-03 03:08:51
8,562,2,LaSalle Investment Management Securities LLC,5641319,2017-12-30 00:00:00,1.52%,817991,2018-07-03 03:08:51
9,562,2,"Principal Financial Group, Inc.",5423021,2017-12-30 00:00:00,1.46%,786338,2018-07-03 03:08:51
0,562,2,Vanguard Specialized-REIT Index Fund,27406940,2017-07-30 00:00:00,7.37%,4385110,2018-07-03 03:08:51
1,562,2,Vanguard Total Stock Market Index Fund,8429838,2017-06-29 00:00:00,2.27%,1685967,2018-07-03 03:08:51
2,562,2,Vanguard 500 Index Fund,5776056,2017-06-29 00:00:00,1.55%,1155211,2018-07-03 03:08:51
3,562,2,SPDR S&P 500 ETF Trust,4705467,2018-01-30 00:00:00,1.27%,682292,2018-07-03 03:08:51
4,562,2,Vanguard Institutional Index Fund-Institutional Index Fund,4021673,2017-06-29 00:00:00,1.08%,804334,2018-07-03 03:08:51
5,562,2,DFA Real Estate Securities Portfolio,3448237,2017-07-30 00:00:00,0.93%,551717,2018-07-03 03:08:51
6,562,2,Fidelity Real Estate Investment Portfolio,2525540,2018-01-30 00:00:00,0.68%,366203,2018-07-03 03:08:51
7,562,2,iShares Core S&P 500 ETF,2394466,2018-01-30 00:00:00,0.64%,347197,2018-07-03 03:08:51
8,562,2,Vanguard Growth Index Fund,2329798,2017-06-29 00:00:00,0.63%,465959,2018-07-03 03:08:51
9,562,2,Fidelity 500 Index Fund,2289332,2018-01-30 00:00:00,0.62%,331953,2018-07-03 03:08:51
