,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,429,2,"Berkshire Hathaway, Inc",458232268,2017-12-30 00:00:00,9.40%,28089637678,2018-07-03 02:19:23
1,429,2,"Vanguard Group, Inc. (The)",319512868,2017-12-30 00:00:00,6.55%,19586138564,2018-07-03 02:19:23
2,429,2,Blackrock Inc.,286595437,2017-12-30 00:00:00,5.88%,17568300069,2018-07-03 02:19:23
3,429,2,State Street Corporation,201941156,2017-12-30 00:00:00,4.14%,12378992708,2018-07-03 02:19:23
4,429,2,Capital World Investors,149527988,2017-12-30 00:00:00,3.07%,9166065550,2018-07-03 02:19:23
5,429,2,"FMR, LLC",131278028,2017-12-30 00:00:00,2.69%,8047343016,2018-07-03 02:19:23
6,429,2,Dodge & Cox Inc,70689742,2017-12-30 00:00:00,1.45%,4333281130,2018-07-03 02:19:23
7,429,2,Price (T.Rowe) Associates Inc,70145868,2017-12-30 00:00:00,1.44%,4299941654,2018-07-03 02:19:23
8,429,2,JP Morgan Chase & Company,61880324,2017-12-30 00:00:00,1.27%,3793263813,2018-07-03 02:19:23
9,429,2,"Franklin Resources, Inc",58618893,2017-12-30 00:00:00,1.20%,3593338096,2018-07-03 02:19:23
0,429,2,Vanguard Total Stock Market Index Fund,103615142,2017-06-29 00:00:00,2.12%,5508180932,2018-07-03 02:19:23
1,429,2,Vanguard 500 Index Fund,71073951,2017-06-29 00:00:00,1.46%,3778291224,2018-07-03 02:19:23
2,429,2,SPDR S&P 500 ETF Trust,56326570,2018-01-30 00:00:00,1.16%,3707414820,2018-07-03 02:19:23
3,429,2,Vanguard Institutional Index Fund-Institutional Index Fund,49344003,2017-06-29 00:00:00,1.01%,2623127191,2018-07-03 02:19:23
4,429,2,Dodge & Cox Stock Fund,42853341,2017-09-29 00:00:00,0.88%,2323079576,2018-07-03 02:19:23
5,429,2,Select Sector SPDR Fund-Financial,42611092,2018-01-30 00:00:00,0.87%,2804662062,2018-07-03 02:19:23
6,429,2,Fidelity Contrafund Inc,34998824,2018-01-30 00:00:00,0.72%,2303622584,2018-07-03 02:19:23
7,429,2,Fundamental Investors Inc,33553000,2017-12-30 00:00:00,0.69%,2056798874,2018-07-03 02:19:23
8,429,2,Income Fund of America Inc,32900915,2017-12-30 00:00:00,0.67%,2016826064,2018-07-03 02:19:23
9,429,2,American Balanced Fund,29325500,2017-12-30 00:00:00,0.60%,1797653127,2018-07-03 02:19:23
