,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,545,2,Price (T.Rowe) Associates Inc,15882322,2017-12-30 00:00:00,12.01%,2404424717,2018-07-03 03:02:41
1,545,2,"Vanguard Group, Inc. (The)",13244590,2017-12-30 00:00:00,10.02%,2005098472,2018-07-03 03:02:41
2,545,2,Harris Associates L.P.,10284286,2017-12-30 00:00:00,7.78%,1556938051,2018-07-03 03:02:41
3,545,2,Blackrock Inc.,8024880,2017-12-30 00:00:00,6.07%,1214886578,2018-07-03 03:02:41
4,545,2,State Street Corporation,6232825,2017-12-30 00:00:00,4.71%,943587372,2018-07-03 03:02:41
5,545,2,Longview Partners (Guernsey) LTD,6146219,2017-12-30 00:00:00,4.65%,930476090,2018-07-03 03:02:41
6,545,2,Capital Research Global Investors,5059870,2017-12-30 00:00:00,3.83%,766013716,2018-07-03 03:02:41
7,545,2,"First Eagle Investment Management, LLC",4020406,2017-12-30 00:00:00,3.04%,608649261,2018-07-03 03:02:41
8,545,2,FIL LTD,2972169,2017-12-30 00:00:00,2.25%,449956663,2018-07-03 03:02:41
9,545,2,Cantillon Capital Management LLC,2749834,2017-12-30 00:00:00,2.08%,416297367,2018-07-03 03:02:41
0,545,2,Vanguard Mid-Cap Index Fund,3173554,2017-06-29 00:00:00,2.40%,459879721,2018-07-03 03:02:41
1,545,2,Price (T.Rowe) Mid Cap Growth Fund,3000000,2017-12-30 00:00:00,2.27%,454169998,2018-07-03 03:02:41
2,545,2,Vanguard Total Stock Market Index Fund,2981473,2017-06-29 00:00:00,2.25%,432045263,2018-07-03 03:02:41
3,545,2,Investment Company Of America,2875000,2017-12-30 00:00:00,2.17%,435246248,2018-07-03 03:02:41
4,545,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,2223700,2017-12-30 00:00:00,1.68%,336645941,2018-07-03 03:02:41
5,545,2,First Eagle Global Fund,2058297,2017-07-30 00:00:00,1.56%,308991535,2018-07-03 03:02:41
6,545,2,Vanguard 500 Index Fund,2004880,2017-06-29 00:00:00,1.52%,290527168,2018-07-03 03:02:41
7,545,2,SPDR S&P 500 ETF Trust,1700164,2018-01-30 00:00:00,1.29%,274933531,2018-07-03 03:02:41
8,545,2,Vanguard Selected Value Fund,1692641,2017-07-30 00:00:00,1.28%,254099258,2018-07-03 03:02:41
9,545,2,Amcap Fund,1450000,2017-12-30 00:00:00,1.10%,219515499,2018-07-03 03:02:41
