,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,435,2,Blackrock Inc.,77428540,2017-12-30 00:00:00,9.36%,2362344773,2018-07-03 02:21:41
1,435,2,"FMR, LLC",64700872,2017-12-30 00:00:00,7.82%,1974023619,2018-07-03 02:21:41
2,435,2,"Vanguard Group, Inc. (The)",62443604,2017-12-30 00:00:00,7.55%,1905154372,2018-07-03 02:21:41
3,435,2,State Street Corporation,42187970,2017-12-30 00:00:00,5.10%,1287154974,2018-07-03 02:21:41
4,435,2,"Franklin Resources, Inc",21891473,2017-12-30 00:00:00,2.65%,667908846,2018-07-03 02:21:41
5,435,2,"Goldman Sachs Group, Inc.",20465291,2017-12-30 00:00:00,2.47%,624396033,2018-07-03 02:21:41
6,435,2,Deutsche Bank Aktiengesellschaft,17903073,2017-12-30 00:00:00,2.16%,546222761,2018-07-03 02:21:41
7,435,2,"Tortoise Capital Advisors, LLC",17458554,2017-12-30 00:00:00,2.11%,532660486,2018-07-03 02:21:41
8,435,2,JP Morgan Chase & Company,14660968,2017-12-30 00:00:00,1.77%,447306137,2018-07-03 02:21:41
9,435,2,Capital International Investors,11039600,2017-12-30 00:00:00,1.33%,336818198,2018-07-03 02:21:41
0,435,2,Vanguard Total Stock Market Index Fund,19010066,2017-06-29 00:00:00,2.30%,554523626,2018-07-03 02:21:41
1,435,2,"Capital Income Builder, Inc.",13044800,2017-12-30 00:00:00,1.58%,397996850,2018-07-03 02:21:41
2,435,2,Vanguard 500 Index Fund,13036166,2017-06-29 00:00:00,1.58%,380264963,2018-07-03 02:21:41
3,435,2,Select Sector SPDR Fund-Energy Select,11867320,2018-01-30 00:00:00,1.43%,379516888,2018-07-03 02:21:41
4,435,2,SPDR S&P 500 ETF Trust,10457746,2018-01-30 00:00:00,1.26%,334438712,2018-07-03 02:21:41
5,435,2,JP Morgan Mid Cap Value Fund,9797809,2018-01-30 00:00:00,1.18%,313333927,2018-07-03 02:21:41
6,435,2,Vanguard Institutional Index Fund-Institutional Index Fund,9059868,2017-06-29 00:00:00,1.10%,264276350,2018-07-03 02:21:41
7,435,2,Tortoise MLP & Pipeline Fund,8846182,2017-11-29 00:00:00,1.07%,247516168,2018-07-03 02:21:41
8,435,2,College Retirement Equities Fund-Stock Account,6717145,2017-06-29 00:00:00,0.81%,195939120,2018-07-03 02:21:41
9,435,2,Fidelity Series Growth & Income Fund,6463557,2018-01-30 00:00:00,0.78%,206704549,2018-07-03 02:21:41
