,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,438,2,"Vanguard Group, Inc. (The)",8858494,2017-12-30 00:00:00,8.60%,1492479031,2018-07-03 02:22:47
1,438,2,"Northern Cross, LLC",7102470,2017-12-30 00:00:00,6.89%,1196624115,2018-07-03 02:22:47
2,438,2,Blackrock Inc.,5141200,2017-12-30 00:00:00,4.99%,866189354,2018-07-03 02:22:47
3,438,2,State Street Corporation,3174800,2017-12-30 00:00:00,3.08%,534890290,2018-07-03 02:22:47
4,438,2,Capital International Investors,3026115,2017-12-30 00:00:00,2.94%,509839842,2018-07-03 02:22:47
5,438,2,Southeastern Asset Management Inc/tn/,2557767,2017-12-30 00:00:00,2.48%,430932573,2018-07-03 02:22:47
6,438,2,"Wellington Management Company, LLP",2336409,2017-12-30 00:00:00,2.27%,393638178,2018-07-03 02:22:47
7,438,2,Invesco Ltd.,1959455,2017-12-30 00:00:00,1.90%,330128970,2018-07-03 02:22:47
8,438,2,"Lone Pine Capital, LLC",1270051,2017-12-30 00:00:00,1.23%,213978187,2018-07-03 02:22:47
9,438,2,Platinum Investment Management Ltd,1260130,2017-12-30 00:00:00,1.22%,212306697,2018-07-03 02:22:47
0,438,2,Harbor International Fund,6650433,2017-12-30 00:00:00,6.46%,1120464923,2018-07-03 02:22:47
1,438,2,Vanguard Mid-Cap Index Fund,2023355,2017-06-29 00:00:00,1.96%,274427648,2018-07-03 02:22:47
2,438,2,Vanguard Total Stock Market Index Fund,1882188,2017-06-29 00:00:00,1.83%,255281167,2018-07-03 02:22:47
3,438,2,Vanguard 500 Index Fund,1259340,2017-06-29 00:00:00,1.22%,170804290,2018-07-03 02:22:47
4,438,2,New Perspective Fund Inc,1221100,2017-12-30 00:00:00,1.19%,205730922,2018-07-03 02:22:47
5,438,2,Longleaf Partners Small-Cap Fund,1185108,2017-09-29 00:00:00,1.15%,172172488,2018-07-03 02:22:47
6,438,2,SPDR S&P 500 ETF Trust,1015070,2018-01-30 00:00:00,0.99%,165943639,2018-07-03 02:22:47
7,438,2,Longleaf Partners Fund,996989,2017-09-29 00:00:00,0.97%,144842560,2018-07-03 02:22:47
8,438,2,Vanguard Institutional Index Fund-Institutional Index Fund,875464,2017-06-29 00:00:00,0.85%,118739186,2018-07-03 02:22:47
9,438,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",830369,2018-01-30 00:00:00,0.81%,135748720,2018-07-03 02:22:47
